At frame 0, car 1 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 2 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 3 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 4 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, truck 5 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 6 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 7 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 8 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 9 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, car 10 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 0, person 11 is located at coordinates [566.24, 321.01] with a bounding box of width 121.82 and height 94.51.
 At frame 1, car 1 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, car 2 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, car 3 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, car 6 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, truck 5 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, car 4 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, car 9 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, car 8 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, car 10 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 1, person 11 is located at coordinates [571.08, 322.10] with a bounding box of width 126.49 and height 99.43.
 At frame 2, car 1 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 2 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 3 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, truck 5 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 6 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 4 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 8 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 10 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 9 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, car 12 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 2, person 11 is located at coordinates [574.97, 324.65] with a bounding box of width 131.05 and height 103.27.
 At frame 3, car 1 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, car 2 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, car 3 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, truck 5 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, car 9 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, car 6 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, car 4 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, car 10 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, car 8 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 3, person 11 is located at coordinates [579.83, 324.42] with a bounding box of width 132.41 and height 105.45.
 At frame 4, car 1 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, car 2 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, car 3 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, truck 5 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, car 9 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, car 4 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, car 6 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, person 11 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 

=====================================================

At frame 4, car 10 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, car 8 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 4, car 12 is located at coordinates [582.37, 324.13] with a bounding box of width 135.19 and height 107.98.
 At frame 5, car 1 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 2 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 9 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 3 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, truck 5 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 6 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 4 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 8 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 12 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, person 11 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 5, car 10 is located at coordinates [582.33, 324.18] with a bounding box of width 139.96 and height 110.99.
 At frame 6, car 2 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 1 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 3 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 9 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, truck 5 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 4 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 6 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 8 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 12 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 10 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, car 16 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 6, person 11 is located at coordinates [0.00, 337.51] with a bounding box of width 175.11 and height 66.50.
 At frame 7, car 1 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 2 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 3 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 9 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, truck 5 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 4 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 8 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 6 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, person 11 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 12 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 10 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 18 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 17 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 7, car 16 is located at coordinates [588.32, 322.77] with a bounding box of width 146.03 and height 115.99.
 At frame 8, car 1 is located at coordinates [589.37, 319.44] with a bounding box of width 150.87 and height 117.85.
 At frame 8, car 2 is located at coordinates [589.37, 319.44] with a bounding box of width 150.87 and height 117.85.
