At frame 0, car 1 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, car 2 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, car 3 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, truck 4 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, car 5 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, truck 6 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, car 7 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, bus 8 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, car 9 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, person 10 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 0, car 11 is located at coordinates [520.67, 243.14] with a bounding box of width 145.27 and height 136.95.
 At frame 1, car 2 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, car 1 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, truck 6 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, car 5 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, truck 4 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, car 7 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, bus 8 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, car 3 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, car 11 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, person 10 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 1, car 9 is located at coordinates [284.00, 231.93] with a bounding box of width 178.47 and height 129.51.
 At frame 2, car 1 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, truck 6 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, car 5 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, car 2 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, car 7 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, truck 4 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, bus 8 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, car 3 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, car 11 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, person 10 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 2, car 9 is located at coordinates [522.25, 245.34] with a bounding box of width 143.06 and height 133.27.
 At frame 3, truck 6 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, car 1 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, car 2 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, car 5 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, car 7 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, truck 4 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, car 3 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, bus 8 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, person 10 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, car 11 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 3, car 9 is located at coordinates [0.95, 97.26] with a bounding box of width 236.89 and height 419.18.
 At frame 4, truck 6 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 1 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 5 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 2 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 3 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 7 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 

=====================================================

At frame 4, truck 4 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, bus 8 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 11 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, person 10 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 13 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 4, car 9 is located at coordinates [1.56, 95.72] with a bounding box of width 241.27 and height 418.96.
 At frame 5, truck 6 is located at coordinates [1.52, 91.50] with a bounding box of width 246.44 and height 419.31.
