At frame 0, car 1 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 0, car 2 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 0, car 3 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 0, bus 4 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 0, car 5 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 0, car 6 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 0, car 7 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 0, person 8 is located at coordinates [1086.89, 200.50] with a bounding box of width 192.59 and height 183.22.
 At frame 1, car 3 is located at coordinates [1.14, 181.40] with a bounding box of width 263.18 and height 139.51.
 At frame 1, bus 4 is located at coordinates [1.14, 181.40] with a bounding box of width 263.18 and height 139.51.
 At frame 1, car 1 is located at coordinates [1.14, 181.40] with a bounding box of width 263.18 and height 139.51.
 At frame 1, car 2 is located at coordinates [1.14, 181.40] with a bounding box of width 263.18 and height 139.51.
 At frame 1, car 6 is located at coordinates [1.14, 181.40] with a bounding box of width 263.18 and height 139.51.
 At frame 1, car 5 is located at coordinates [1.14, 181.40] with a bounding box of width 263.18 and height 139.51.
 At frame 1, car 7 is located at coordinates [1.14, 181.40] with a bounding box of width 263.18 and height 139.51.
 At frame 2, bus 4 is located at coordinates [987.81, 71.61] with a bounding box of width 291.55 and height 253.85.
 At frame 2, car 3 is located at coordinates [987.81, 71.61] with a bounding box of width 291.55 and height 253.85.
 At frame 2, car 2 is located at coordinates [987.81, 71.61] with a bounding box of width 291.55 and height 253.85.
 At frame 2, car 1 is located at coordinates [987.81, 71.61] with a bounding box of width 291.55 and height 253.85.
 At frame 2, car 5 is located at coordinates [987.81, 71.61] with a bounding box of width 291.55 and height 253.85.
 At frame 2, car 6 is located at coordinates [987.81, 71.61] with a bounding box of width 291.55 and height 253.85.
 At frame 2, car 7 is located at coordinates [987.81, 71.61] with a bounding box of width 291.55 and height 253.85.
 At frame 3, car 2 is located at coordinates [0.44, 219.66] with a bounding box of width 223.24 and height 138.57.
 At frame 3, bus 4 is located at coordinates [0.44, 219.66] with a bounding box of width 223.24 and height 138.57.
 At frame 3, car 5 is located at coordinates [0.44, 219.66] with a bounding box of width 223.24 and height 138.57.
 At frame 3, car 6 is located at coordinates [0.44, 219.66] with a bounding box of width 223.24 and height 138.57.
 At frame 3, car 1 is located at coordinates [0.44, 219.66] with a bounding box of width 223.24 and height 138.57.
 At frame 3, car 3 is located at coordinates [0.44, 219.66] with a bounding box of width 223.24 and height 138.57.
 At frame 3, person 9 is located at coordinates [0.44, 219.66] with a bounding box of width 223.24 and height 138.57.
 At frame 4, car 2 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 4, bus 4 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 4, car 5 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 4, car 3 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 4, car 6 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 4, car 1 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 4, person 9 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 4, car 7 is located at coordinates [0.32, 218.84] with a bounding box of width 238.29 and height 137.27.
 At frame 5, car 2 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, bus 4 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, car 6 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, car 3 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, car 5 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, car 1 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, car 7 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, car 11 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 5, person 9 is located at coordinates [0.46, 217.35] with a bounding box of width 243.93 and height 139.18.
 At frame 6, bus 4 is located at coordinates [992.15, 72.89] with a bounding box of width 287.41 and height 257.82.
 At frame 6, car 2 is located at coordinates [992.15, 72.89] with a bounding box of width 287.41 and height 257.82.
 At frame 6, car 6 is located at coordinates [992.15, 72.89] with a bounding box of width 287.41 and height 257.82.
 At frame 6, car 3 is located at coordinates [992.15, 72.89] with a bounding box of width 287.41 and height 257.82.
 

=====================================================

At frame 6, car 5 is located at coordinates [992.15, 72.89] with a bounding box of width 287.41 and height 257.82.
 At frame 6, car 7 is located at coordinates [992.15, 72.89] with a bounding box of width 287.41 and height 257.82.
 At frame 6, car 11 is located at coordinates [992.15, 72.89] with a bounding box of width 287.41 and height 257.82.
 At frame 7, car 2 is located at coordinates [0.46, 219.45] with a bounding box of width 263.30 and height 137.13.
 At frame 7, bus 4 is located at coordinates [0.46, 219.45] with a bounding box of width 263.30 and height 137.13.
 At frame 7, car 5 is located at coordinates [0.46, 219.45] with a bounding box of width 263.30 and height 137.13.
 At frame 7, car 3 is located at coordinates [0.46, 219.45] with a bounding box of width 263.30 and height 137.13.
 At frame 7, car 6 is located at coordinates [0.46, 219.45] with a bounding box of width 263.30 and height 137.13.
 At frame 7, car 7 is located at coordinates [0.46, 219.45] with a bounding box of width 263.30 and height 137.13.
 At frame 8, car 2 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, car 6 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, car 3 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, car 5 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, bus 4 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, car 9 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, car 7 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, person 1 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 8, car 11 is located at coordinates [0.45, 216.56] with a bounding box of width 269.43 and height 141.27.
 At frame 9, car 2 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, bus 4 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, car 3 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, car 6 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, car 5 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, car 9 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, person 1 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, car 7 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 9, car 11 is located at coordinates [0.54, 216.87] with a bounding box of width 274.53 and height 139.06.
 At frame 10, bus 4 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, car 2 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, car 5 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, car 3 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, car 9 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, person 1 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, car 6 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, truck 15 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 10, car 7 is located at coordinates [991.29, 72.17] with a bounding box of width 288.11 and height 264.95.
 At frame 11, bus 4 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, car 2 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, car 5 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, car 9 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, car 3 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, person 1 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, car 6 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, truck 15 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
 At frame 11, car 7 is located at coordinates [993.20, 68.95] with a bounding box of width 286.21 and height 271.79.
