At frame 0, car 1 is located at coordinates [642.30, 367.61] with a bounding box of width 449.78 and height 264.98.
 At frame 0, car 2 is located at coordinates [642.30, 367.61] with a bounding box of width 449.78 and height 264.98.
 At frame 0, car 3 is located at coordinates [642.30, 367.61] with a bounding box of width 449.78 and height 264.98.
 At frame 0, car 4 is located at coordinates [642.30, 367.61] with a bounding box of width 449.78 and height 264.98.
 At frame 0, car 5 is located at coordinates [642.30, 367.61] with a bounding box of width 449.78 and height 264.98.
 At frame 0, car 6 is located at coordinates [642.30, 367.61] with a bounding box of width 449.78 and height 264.98.
 At frame 1, car 1 is located at coordinates [641.86, 367.50] with a bounding box of width 450.33 and height 267.33.
 At frame 1, car 2 is located at coordinates [641.86, 367.50] with a bounding box of width 450.33 and height 267.33.
 At frame 1, car 3 is located at coordinates [641.86, 367.50] with a bounding box of width 450.33 and height 267.33.
 At frame 1, car 4 is located at coordinates [641.86, 367.50] with a bounding box of width 450.33 and height 267.33.
 At frame 1, car 5 is located at coordinates [641.86, 367.50] with a bounding box of width 450.33 and height 267.33.
 At frame 1, car 6 is located at coordinates [641.86, 367.50] with a bounding box of width 450.33 and height 267.33.
 At frame 2, car 2 is located at coordinates [180.63, 347.85] with a bounding box of width 380.43 and height 302.53.
 At frame 2, car 1 is located at coordinates [180.63, 347.85] with a bounding box of width 380.43 and height 302.53.
 At frame 2, car 3 is located at coordinates [180.63, 347.85] with a bounding box of width 380.43 and height 302.53.
 At frame 2, car 4 is located at coordinates [180.63, 347.85] with a bounding box of width 380.43 and height 302.53.
 At frame 2, car 7 is located at coordinates [180.63, 347.85] with a bounding box of width 380.43 and height 302.53.
 At frame 2, car 5 is located at coordinates [180.63, 347.85] with a bounding box of width 380.43 and height 302.53.
 At frame 2, car 6 is located at coordinates [180.63, 347.85] with a bounding box of width 380.43 and height 302.53.
 At frame 3, car 1 is located at coordinates [641.42, 368.32] with a bounding box of width 450.91 and height 266.08.
 At frame 3, car 2 is located at coordinates [641.42, 368.32] with a bounding box of width 450.91 and height 266.08.
 At frame 3, car 3 is located at coordinates [641.42, 368.32] with a bounding box of width 450.91 and height 266.08.
 At frame 3, car 4 is located at coordinates [641.42, 368.32] with a bounding box of width 450.91 and height 266.08.
 At frame 3, car 7 is located at coordinates [641.42, 368.32] with a bounding box of width 450.91 and height 266.08.
 At frame 3, car 5 is located at coordinates [641.42, 368.32] with a bounding box of width 450.91 and height 266.08.
 At frame 3, car 6 is located at coordinates [641.42, 368.32] with a bounding box of width 450.91 and height 266.08.
 At frame 4, car 1 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 4, car 2 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 4, car 3 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 4, car 4 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 4, car 5 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 4, car 8 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 4, car 7 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 4, car 6 is located at coordinates [642.24, 367.40] with a bounding box of width 450.06 and height 264.30.
 At frame 5, car 1 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 5, car 2 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 5, car 3 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 5, car 4 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 5, car 5 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 5, car 6 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 5, car 7 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 5, car 8 is located at coordinates [642.26, 367.41] with a bounding box of width 449.51 and height 264.15.
 At frame 6, car 1 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 At frame 6, car 2 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 At frame 6, car 3 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 At frame 6, car 4 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 At frame 6, car 5 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 At frame 6, car 6 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 At frame 6, car 7 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 At frame 6, car 8 is located at coordinates [642.13, 367.40] with a bounding box of width 449.74 and height 263.50.
 

=====================================================

At frame 7, car 1 is located at coordinates [642.32, 367.38] with a bounding box of width 449.79 and height 263.52.
 At frame 7, car 2 is located at coordinates [642.32, 367.38] with a bounding box of width 449.79 and height 263.52.
