At frame 0, car 1 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, car 2 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, bus 3 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, person 4 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, car 5 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, person 6 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, bus 7 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, person 8 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, car 9 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, car 10 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 0, car 11 is located at coordinates [509.34, 439.25] with a bounding box of width 65.66 and height 47.50.
 At frame 1, car 1 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, car 2 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, bus 3 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, person 4 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, car 5 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, bus 7 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, person 8 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, person 6 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, car 9 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
 At frame 1, car 11 is located at coordinates [509.42, 439.16] with a bounding box of width 65.65 and height 47.63.
