At frame 0, truck 1 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 2 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 3 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 4 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 5 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 6 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 7 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 8 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 9 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 10 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 11 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 12 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 13 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 0, car 14 is located at coordinates [209.89, 640.13] with a bounding box of width 343.59 and height 241.54.
 At frame 1, truck 1 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 2 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 3 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 4 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 5 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 6 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 7 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 8 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 9 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 10 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 11 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 12 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 13 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 1, car 14 is located at coordinates [209.79, 640.12] with a bounding box of width 343.72 and height 241.74.
 At frame 2, truck 1 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 3 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 2 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 5 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 6 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 4 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 9 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 7 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 11 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 8 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 12 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 13 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 2, car 10 is located at coordinates [197.29, 635.87] with a bounding box of width 343.98 and height 250.60.
 At frame 3, car 2 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, truck 1 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 3 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 5 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 6 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 7 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 9 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 4 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 11 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 

=====================================================

At frame 3, car 10 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 8 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 13 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 14 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 3, car 12 is located at coordinates [1583.76, 622.92] with a bounding box of width 302.26 and height 263.29.
 At frame 4, car 2 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, truck 1 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 3 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 5 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 6 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 4 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 7 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 9 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 11 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 8 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 10 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 13 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 12 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 4, car 14 is located at coordinates [1603.42, 616.06] with a bounding box of width 301.24 and height 277.08.
 At frame 5, truck 1 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 2 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 3 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 5 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 6 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 10 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 7 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 9 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 11 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 4 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 13 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 5, car 8 is located at coordinates [157.07, 625.46] with a bounding box of width 344.79 and height 267.67.
 At frame 6, truck 1 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 5 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 2 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 3 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 6 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 7 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 9 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 10 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 11 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 8 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 6, car 12 is located at coordinates [143.51, 619.57] with a bounding box of width 344.73 and height 276.24.
 At frame 7, truck 1 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 5 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
 At frame 7, car 2 is located at coordinates [131.80, 614.44] with a bounding box of width 340.08 and height 284.39.
