At frame 0, person 1 is located at coordinates [573.21, 647.72] with a bounding box of width 34.93 and height 94.99.
 At frame 0, car 2 is located at coordinates [573.21, 647.72] with a bounding box of width 34.93 and height 94.99.
 At frame 0, truck 3 is located at coordinates [573.21, 647.72] with a bounding box of width 34.93 and height 94.99.
 At frame 1, person 1 is located at coordinates [568.26, 647.65] with a bounding box of width 36.50 and height 95.79.
 At frame 1, car 2 is located at coordinates [568.26, 647.65] with a bounding box of width 36.50 and height 95.79.
 At frame 1, truck 3 is located at coordinates [568.26, 647.65] with a bounding box of width 36.50 and height 95.79.
 At frame 2, person 1 is located at coordinates [563.43, 649.69] with a bounding box of width 35.93 and height 95.44.
 At frame 2, truck 3 is located at coordinates [563.43, 649.69] with a bounding box of width 35.93 and height 95.44.
 At frame 2, car 2 is located at coordinates [563.43, 649.69] with a bounding box of width 35.93 and height 95.44.
 At frame 3, person 1 is located at coordinates [558.85, 649.43] with a bounding box of width 34.90 and height 97.19.
 At frame 3, car 2 is located at coordinates [558.85, 649.43] with a bounding box of width 34.90 and height 97.19.
 At frame 3, truck 3 is located at coordinates [558.85, 649.43] with a bounding box of width 34.90 and height 97.19.
 At frame 4, person 1 is located at coordinates [552.09, 650.83] with a bounding box of width 38.86 and height 98.28.
 At frame 4, truck 3 is located at coordinates [552.09, 650.83] with a bounding box of width 38.86 and height 98.28.
 At frame 4, car 2 is located at coordinates [552.09, 650.83] with a bounding box of width 38.86 and height 98.28.
 At frame 5, car 2 is located at coordinates [982.36, 659.21] with a bounding box of width 80.75 and height 35.78.
 At frame 5, person 1 is located at coordinates [982.36, 659.21] with a bounding box of width 80.75 and height 35.78.
 At frame 5, car 3 is located at coordinates [982.36, 659.21] with a bounding box of width 80.75 and height 35.78.
 At frame 6, car 2 is located at coordinates [981.62, 658.62] with a bounding box of width 79.11 and height 36.29.
 At frame 6, person 1 is located at coordinates [981.62, 658.62] with a bounding box of width 79.11 and height 36.29.
 At frame 6, car 3 is located at coordinates [981.62, 658.62] with a bounding box of width 79.11 and height 36.29.
 At frame 6, car 6 is located at coordinates [981.62, 658.62] with a bounding box of width 79.11 and height 36.29.
 At frame 7, car 2 is located at coordinates [980.38, 657.75] with a bounding box of width 79.60 and height 37.20.
 At frame 7, person 1 is located at coordinates [980.38, 657.75] with a bounding box of width 79.60 and height 37.20.
 At frame 7, truck 3 is located at coordinates [980.38, 657.75] with a bounding box of width 79.60 and height 37.20.
 At frame 8, person 1 is located at coordinates [535.43, 646.49] with a bounding box of width 37.99 and height 107.63.
 At frame 8, truck 3 is located at coordinates [535.43, 646.49] with a bounding box of width 37.99 and height 107.63.
 At frame 8, car 2 is located at coordinates [535.43, 646.49] with a bounding box of width 37.99 and height 107.63.
 At frame 9, person 1 is located at coordinates [531.56, 644.20] with a bounding box of width 37.90 and height 110.22.
 At frame 9, car 2 is located at coordinates [531.56, 644.20] with a bounding box of width 37.90 and height 110.22.
 At frame 10, person 1 is located at coordinates [528.61, 643.74] with a bounding box of width 36.23 and height 109.99.
 At frame 10, truck 3 is located at coordinates [528.61, 643.74] with a bounding box of width 36.23 and height 109.99.
 At frame 10, car 2 is located at coordinates [528.61, 643.74] with a bounding box of width 36.23 and height 109.99.
 At frame 11, person 1 is located at coordinates [524.00, 642.12] with a bounding box of width 34.98 and height 111.56.
