At frame 0, car 1 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 0, car 2 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 0, car 3 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 0, person 4 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 0, car 5 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 0, person 6 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 0, truck 7 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 0, car 8 is located at coordinates [341.73, 291.66] with a bounding box of width 410.83 and height 283.85.
 At frame 1, car 1 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 1, car 2 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 1, car 3 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 1, truck 7 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 1, person 4 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 1, car 5 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 1, person 6 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 1, car 8 is located at coordinates [349.44, 291.95] with a bounding box of width 408.24 and height 284.20.
 At frame 2, car 1 is located at coordinates [354.40, 291.27] with a bounding box of width 406.41 and height 285.73.
 At frame 2, car 2 is located at coordinates [354.40, 291.27] with a bounding box of width 406.41 and height 285.73.
 At frame 2, car 3 is located at coordinates [354.40, 291.27] with a bounding box of width 406.41 and height 285.73.
 At frame 2, car 5 is located at coordinates [354.40, 291.27] with a bounding box of width 406.41 and height 285.73.
 At frame 2, truck 7 is located at coordinates [354.40, 291.27] with a bounding box of width 406.41 and height 285.73.
 At frame 2, car 8 is located at coordinates [354.40, 291.27] with a bounding box of width 406.41 and height 285.73.
