At frame 0, car 1 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 2 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 3 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, truck 4 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 5 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 6 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, person 7 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 8 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 9 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 10 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 0, car 11 is located at coordinates [87.35, 311.34] with a bounding box of width 416.67 and height 225.12.
 At frame 1, car 1 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, car 2 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, car 3 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, person 7 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, car 6 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, truck 4 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, car 5 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, car 8 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, car 10 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 1, car 11 is located at coordinates [62.94, 318.62] with a bounding box of width 435.28 and height 221.74.
 At frame 2, car 1 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, car 2 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, car 3 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, person 7 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, car 6 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, car 5 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, truck 4 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, car 10 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 2, car 8 is located at coordinates [41.72, 323.11] with a bounding box of width 449.85 and height 212.45.
 At frame 3, car 1 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, car 2 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, car 3 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, person 7 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, truck 4 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, car 5 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, car 6 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, car 10 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 3, car 8 is located at coordinates [28.03, 322.88] with a bounding box of width 460.03 and height 214.17.
 At frame 4, car 1 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, car 2 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, car 3 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, truck 4 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, car 6 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, person 7 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, car 5 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, car 8 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 4, car 10 is located at coordinates [11.71, 322.20] with a bounding box of width 471.47 and height 216.78.
 At frame 5, car 1 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 5, car 2 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 

=====================================================

At frame 5, car 3 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 5, car 6 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 5, truck 4 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 5, person 7 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 5, car 5 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 5, car 8 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 5, car 10 is located at coordinates [0.33, 320.35] with a bounding box of width 478.25 and height 218.35.
 At frame 6, car 1 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, car 2 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, car 3 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, truck 4 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, car 6 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, person 7 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, car 5 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, car 8 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 6, car 10 is located at coordinates [0.51, 319.35] with a bounding box of width 472.51 and height 219.26.
 At frame 7, car 1 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, car 2 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, car 3 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, car 6 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, truck 4 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, person 7 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, car 5 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, car 8 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 7, car 10 is located at coordinates [0.69, 316.30] with a bounding box of width 466.17 and height 225.05.
 At frame 8, car 1 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, car 2 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, car 3 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, car 6 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, person 7 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, truck 4 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, car 5 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, car 8 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 8, car 10 is located at coordinates [0.72, 312.24] with a bounding box of width 461.84 and height 228.47.
 At frame 9, car 1 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, car 2 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, car 3 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, car 6 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, person 7 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, car 5 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, truck 4 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, car 10 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 9, car 8 is located at coordinates [0.57, 309.27] with a bounding box of width 455.51 and height 232.66.
 At frame 10, car 1 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, car 2 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, car 3 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, truck 4 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, person 7 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, car 6 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, car 5 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 

=====================================================

At frame 10, car 8 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, car 10 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 10, car 14 is located at coordinates [0.53, 305.42] with a bounding box of width 449.48 and height 237.37.
 At frame 11, car 1 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, car 2 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, car 3 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, truck 4 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, person 7 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, car 6 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, car 5 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, car 8 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 11, car 10 is located at coordinates [0.79, 301.62] with a bounding box of width 445.13 and height 241.52.
 At frame 12, car 1 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, car 2 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, car 3 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, truck 4 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, car 6 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, person 7 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, car 5 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, car 8 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 12, car 10 is located at coordinates [0.83, 297.25] with a bounding box of width 440.19 and height 247.12.
 At frame 13, car 1 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, car 2 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, car 3 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, truck 4 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, person 7 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, car 6 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, car 5 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, car 8 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 13, car 10 is located at coordinates [0.75, 294.50] with a bounding box of width 434.51 and height 250.28.
 At frame 14, car 1 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, car 2 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, car 3 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, person 7 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, car 6 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, truck 4 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, car 5 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, car 10 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 14, car 8 is located at coordinates [0.56, 292.86] with a bounding box of width 431.08 and height 253.14.
 At frame 15, car 1 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, car 2 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, car 3 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, truck 4 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, person 7 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, car 6 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, car 5 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, car 8 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 15, car 10 is located at coordinates [0.52, 293.20] with a bounding box of width 426.94 and height 253.90.
 At frame 16, car 1 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 16, car 2 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 

=====================================================

At frame 16, car 3 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 16, truck 4 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 16, person 7 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 16, car 6 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 16, car 5 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 16, car 8 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 16, car 10 is located at coordinates [0.47, 293.33] with a bounding box of width 422.52 and height 252.13.
 At frame 17, car 1 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, car 2 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, car 3 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, car 5 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, car 6 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, person 7 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, truck 4 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, car 19 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 17, car 8 is located at coordinates [0.94, 293.42] with a bounding box of width 417.74 and height 252.63.
 At frame 18, car 1 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, car 2 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, car 3 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, car 5 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, car 6 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, truck 4 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, person 7 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, car 10 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, car 19 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 18, car 8 is located at coordinates [0.94, 293.39] with a bounding box of width 412.56 and height 251.64.
 At frame 19, car 1 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, car 2 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, car 3 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, truck 4 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, car 5 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, person 7 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, car 6 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, car 19 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 19, car 10 is located at coordinates [0.98, 295.40] with a bounding box of width 406.30 and height 249.24.
 At frame 20, car 1 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, car 2 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, car 3 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, car 6 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, truck 4 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, car 5 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, person 7 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, car 19 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 20, car 10 is located at coordinates [0.85, 295.09] with a bounding box of width 400.49 and height 248.79.
 At frame 21, car 1 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 21, car 2 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 21, car 3 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 21, truck 4 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 21, car 6 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 21, car 5 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 

=====================================================

At frame 21, person 7 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 21, car 19 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 21, car 10 is located at coordinates [0.51, 294.74] with a bounding box of width 392.57 and height 248.44.
 At frame 22, car 1 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, car 2 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, car 3 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, truck 4 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, person 7 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, car 5 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, car 6 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, car 19 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 22, car 10 is located at coordinates [0.89, 295.12] with a bounding box of width 385.79 and height 248.44.
 At frame 23, car 2 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, car 1 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, car 3 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, truck 4 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, person 7 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, car 6 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, car 5 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, car 19 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 23, car 10 is located at coordinates [343.07, 261.37] with a bounding box of width 296.83 and height 166.11.
 At frame 24, car 1 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, car 2 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, car 3 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, truck 4 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, person 7 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, car 6 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, car 5 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, car 19 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, car 21 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 24, car 10 is located at coordinates [0.83, 291.35] with a bounding box of width 371.23 and height 251.49.
 At frame 25, car 1 is located at coordinates [0.80, 290.08] with a bounding box of width 364.30 and height 250.90.
 At frame 25, car 2 is located at coordinates [0.80, 290.08] with a bounding box of width 364.30 and height 250.90.
 At frame 25, car 3 is located at coordinates [0.80, 290.08] with a bounding box of width 364.30 and height 250.90.
