At frame 0, car 1 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 2 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 3 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 4 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 5 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 6 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 7 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, truck 8 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, person 9 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 10 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, person 11 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, person 12 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 13 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 14 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 15 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, person 16 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 17 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, car 18 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 0, person 19 is located at coordinates [100.09, 372.36] with a bounding box of width 133.80 and height 74.18.
 At frame 1, car 1 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 2 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 3 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 4 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 7 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 6 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, truck 8 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, person 11 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 5 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 10 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, person 19 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 13 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 15 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 14 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, person 12 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 18 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 1, car 17 is located at coordinates [79.35, 372.80] with a bounding box of width 143.72 and height 75.76.
 At frame 2, car 1 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 2 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 6 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 7 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 3 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 4 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 5 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, person 11 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, truck 8 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 10 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 15 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 13 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 14 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, person 19 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 

=====================================================

At frame 2, car 18 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 2, car 17 is located at coordinates [71.15, 371.88] with a bounding box of width 144.85 and height 77.21.
 At frame 3, car 1 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 6 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 2 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 4 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 7 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 3 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, truck 8 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 5 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 10 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, person 11 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, person 22 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, person 21 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 15 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 13 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 14 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, person 19 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 3, car 18 is located at coordinates [60.04, 371.01] with a bounding box of width 151.21 and height 78.55.
 At frame 4, car 1 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 2 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 3 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 7 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 6 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, person 11 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 5 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 10 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 4 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, truck 8 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 13 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 14 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 15 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, person 19 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, car 18 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, person 22 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
 At frame 4, person 21 is located at coordinates [47.39, 371.07] with a bounding box of width 158.00 and height 80.91.
