At frame 0, car 1 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 2 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 3 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, motorcycle 4 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 5 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 6 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 7 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 8 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 9 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 10 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 11 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 0, car 12 is located at coordinates [351.77, 401.80] with a bounding box of width 165.60 and height 91.43.
 At frame 1, car 1 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 2 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, motorcycle 4 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 3 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 5 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 6 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 8 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 7 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 9 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 10 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 1, car 11 is located at coordinates [335.63, 402.09] with a bounding box of width 172.05 and height 94.08.
 At frame 2, car 2 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 1 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, motorcycle 4 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 3 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 5 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 6 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 7 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 8 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 9 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 10 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 2, car 11 is located at coordinates [973.80, 379.85] with a bounding box of width 216.41 and height 143.26.
 At frame 3, car 1 is located at coordinates [297.12, 401.49] with a bounding box of width 183.88 and height 97.39.
 At frame 3, motorcycle 4 is located at coordinates [297.12, 401.49] with a bounding box of width 183.88 and height 97.39.
 At frame 3, car 2 is located at coordinates [297.12, 401.49] with a bounding box of width 183.88 and height 97.39.
 At frame 3, car 3 is located at coordinates [297.12, 401.49] with a bounding box of width 183.88 and height 97.39.
 At frame 3, car 5 is located at coordinates [297.12, 401.49] with a bounding box of width 183.88 and height 97.39.
 At frame 3, car 6 is located at coordinates [297.12, 401.49] with a bounding box of width 183.88 and height 97.39.
 At frame 3, car 7 is located at coordinates [297.12, 401.49] with a bounding box of width 183.88 and height 97.39.
