At frame 0, car 1 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 0, car 2 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 0, car 3 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 0, car 4 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 0, person 5 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 0, car 6 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 0, car 7 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 0, car 8 is located at coordinates [0.31, 175.18] with a bounding box of width 329.84 and height 318.43.
 At frame 1, car 1 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 1, car 3 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 1, car 2 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 1, car 6 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 1, car 7 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 1, person 5 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 1, car 4 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 1, car 8 is located at coordinates [0.56, 180.82] with a bounding box of width 313.77 and height 334.29.
 At frame 2, car 3 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, car 1 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, car 2 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, car 6 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, car 4 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, car 7 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, person 5 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, car 8 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, person 9 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 2, car 10 is located at coordinates [183.94, 197.35] with a bounding box of width 263.14 and height 185.14.
 At frame 3, car 3 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, car 1 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, car 2 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, car 6 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, car 4 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, car 7 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, person 5 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, car 8 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, person 9 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 3, car 10 is located at coordinates [156.11, 197.17] with a bounding box of width 283.20 and height 194.55.
 At frame 4, car 3 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 1 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 2 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 4 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 6 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 7 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, person 5 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 8 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, person 9 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 12 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 4, car 10 is located at coordinates [141.60, 196.25] with a bounding box of width 293.41 and height 198.27.
 At frame 5, car 3 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, car 1 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, car 2 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 

=====================================================

At frame 5, car 4 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, car 6 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, person 5 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, car 7 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, car 8 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, person 9 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, car 12 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 5, car 10 is located at coordinates [123.55, 195.00] with a bounding box of width 309.24 and height 202.33.
 At frame 6, car 1 is located at coordinates [0.69, 199.59] with a bounding box of width 237.79 and height 304.62.
 At frame 6, car 3 is located at coordinates [0.69, 199.59] with a bounding box of width 237.79 and height 304.62.
 At frame 6, car 2 is located at coordinates [0.69, 199.59] with a bounding box of width 237.79 and height 304.62.
