At frame 0, car 1 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 2 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 3 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 4 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 5 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 6 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 7 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 8 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 9 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 10 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 11 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 12 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 13 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, person 14 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 15 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 16 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 17 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 0, car 18 is located at coordinates [1255.73, 635.08] with a bounding box of width 99.20 and height 41.51.
 At frame 1, car 1 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 2 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 3 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 6 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 4 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 5 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 9 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 10 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, person 14 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 15 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 8 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 7 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 11 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 12 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 13 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 18 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 17 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 1, car 16 is located at coordinates [1255.28, 635.56] with a bounding box of width 102.68 and height 41.06.
 At frame 2, car 1 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 2 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 3 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 5 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 6 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 4 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 9 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 15 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 7 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 8 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 10 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 19 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 20 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 12 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 

=====================================================

At frame 2, person 14 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 18 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 16 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 11 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 13 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 21 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 22 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 2, car 17 is located at coordinates [1260.62, 635.27] with a bounding box of width 101.43 and height 42.36.
 At frame 3, car 5 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 1 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 3 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 2 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 4 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 10 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 9 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 6 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 7 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, person 14 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 15 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 18 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 19 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 12 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 20 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 13 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 16 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 21 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 3, car 8 is located at coordinates [1474.50, 632.31] with a bounding box of width 146.84 and height 63.34.
 At frame 4, car 1 is located at coordinates [1266.65, 636.40] with a bounding box of width 100.90 and height 44.03.
