At frame 0, person 1 is located at coordinates [129.23, 237.29] with a bounding box of width 49.44 and height 91.33.
At frame 2, person 2 is located at coordinates [732.14, 244.04] with a bounding box of width 35.88 and height 81.15.
At frame 3, person 2 is located at coordinates [731.76, 245.35] with a bounding box of width 34.97 and height 79.06.
At frame 4, person 2 is located at coordinates [731.64, 244.84] with a bounding box of width 35.63 and height 80.48.
At frame 5, person 2 is located at coordinates [731.64, 245.65] with a bounding box of width 35.78 and height 80.84.
At frame 6, person 2 is located at coordinates [731.76, 246.02] with a bounding box of width 35.59 and height 80.43.
At frame 7, person 2 is located at coordinates [731.94, 246.55] with a bounding box of width 35.27 and height 79.65.
At frame 7, person 4 is located at coordinates [180.41, 240.51] with a bounding box of width 36.18 and height 83.31.
At frame 8, person 2 is located at coordinates [732.00, 246.71] with a bounding box of width 35.18 and height 79.38.
At frame 8, person 4 is located at coordinates [183.02, 240.42] with a bounding box of width 36.22 and height 83.45.
At frame 9, person 2 is located at coordinates [731.93, 246.55] with a bounding box of width 35.32 and height 79.70.
At frame 9, person 4 is located at coordinates [187.80, 240.85] with a bounding box of width 35.07 and height 80.96.
At frame 10, person 2 is located at coordinates [732.68, 248.19] with a bounding box of width 34.62 and height 78.11.
At frame 10, person 4 is located at coordinates [192.76, 241.89] with a bounding box of width 35.28 and height 81.53.
At frame 11, person 2 is located at coordinates [732.92, 248.38] with a bounding box of width 34.45 and height 77.74.
At frame 11, person 4 is located at coordinates [197.59, 243.50] with a bounding box of width 34.18 and height 79.17.
At frame 12, person 2 is located at coordinates [732.50, 248.13] with a bounding box of width 34.59 and height 77.91.
At frame 12, person 4 is located at coordinates [199.97, 243.71] with a bounding box of width 37.91 and height 88.06.
At frame 13, person 2 is located at coordinates [731.37, 247.02] with a bounding box of width 35.00 and height 78.78.
At frame 13, person 4 is located at coordinates [205.09, 243.87] with a bounding box of width 40.56 and height 94.27.
At frame 14, person 2 is located at coordinates [731.40, 247.10] with a bounding box of width 35.06 and height 78.82.
At frame 14, person 4 is located at coordinates [207.94, 245.46] with a bounding box of width 39.75 and height 92.95.
At frame 15, person 2 is located at coordinates [731.56, 247.71] with a bounding box of width 34.77 and height 78.25.
At frame 15, person 4 is located at coordinates [214.75, 245.27] with a bounding box of width 42.92 and height 100.19.
At frame 16, person 2 is located at coordinates [731.09, 247.34] with a bounding box of width 34.96 and height 78.83.
At frame 17, person 2 is located at coordinates [730.43, 246.61] with a bounding box of width 35.21 and height 79.63.
At frame 18, person 2 is located at coordinates [730.12, 246.82] with a bounding box of width 35.44 and height 80.43.
At frame 19, person 2 is located at coordinates [730.16, 247.48] with a bounding box of width 35.24 and height 80.14.
At frame 20, person 2 is located at coordinates [731.28, 249.59] with a bounding box of width 34.52 and height 78.76.
At frame 21, person 2 is located at coordinates [731.42, 250.28] with a bounding box of width 34.05 and height 78.13.
At frame 22, person 2 is located at coordinates [730.79, 250.63] with a bounding box of width 33.66 and height 77.61.
At frame 23, person 2 is located at coordinates [731.00, 251.43] with a bounding box of width 34.20 and height 78.89.
At frame 24, person 2 is located at coordinates [731.69, 251.52] with a bounding box of width 34.75 and height 80.35.
At frame 25, person 2 is located at coordinates [730.55, 250.38] with a bounding box of width 35.43 and height 82.26.
At frame 26, person 2 is located at coordinates [731.68, 251.86] with a bounding box of width 34.89 and height 81.05.
At frame 27, person 2 is located at coordinates [732.53, 252.03] with a bounding box of width 35.42 and height 82.33.
At frame 28, person 2 is located at coordinates [732.14, 252.28] with a bounding box of width 35.47 and height 82.41.
At frame 29, person 2 is located at coordinates [734.20, 255.19] with a bounding box of width 32.63 and height 75.91.
At frame 30, person 2 is located at coordinates [733.20, 254.58] with a bounding box of width 33.49 and height 78.10.
At frame 30, person 5 is located at coordinates [1231.09, 288.53] with a bounding box of width 22.76 and height 58.14.
At frame 31, person 2 is located at coordinates [733.16, 254.07] with a bounding box of width 33.96 and height 79.16.
At frame 31, person 5 is located at coordinates [1233.95, 289.40] with a bounding box of width 22.06 and height 56.38.
At frame 32, person 2 is located at coordinates [733.09, 254.64] with a bounding box of width 33.46 and height 78.01.
At frame 32, person 5 is located at coordinates [1237.05, 288.55] with a bounding box of width 23.18 and height 59.24.
At frame 33, person 2 is located at coordinates [733.24, 255.13] with a bounding box of width 32.90 and height 76.88.
At frame 33, person 5 is located at coordinates [1240.90, 288.28] with a bounding box of width 22.81 and height 58.19.
At frame 34, person 2 is located at coordinates [733.58, 254.52] with a bounding box of width 32.91 and height 76.86.
At frame 34, person 5 is located at coordinates [1246.52, 288.29] with a bounding box of width 22.40 and height 57.25.
At frame 35, person 2 is located at coordinates [733.52, 253.49] with a bounding box of width 33.29 and height 77.84.
At frame 36, person 2 is located at coordinates [733.29, 253.88] with a bounding box of width 33.05 and height 77.24.
At frame 37, person 2 is located at coordinates [733.11, 253.53] with a bounding box of width 33.16 and height 77.51.
At frame 38, person 2 is located at coordinates [735.22, 258.58] with a bounding box of width 28.82 and height 67.53.
At frame 39, person 2 is located at coordinates [736.84, 261.59] with a bounding box of width 26.37 and height 61.97.
At frame 40, person 2 is located at coordinates [737.08, 261.54] with a bounding box of width 26.17 and height 61.59.
At frame 41, person 2 is located at coordinates [736.58, 261.00] with a bounding box of width 26.43 and height 62.41.
At frame 43, person 8 is located at coordinates [1063.22, 283.17] with a bounding box of width 22.44 and height 51.60.
At frame 44, person 8 is located at coordinates [1066.30, 283.29] with a bounding box of width 20.22 and height 46.60.
At frame 45, person 8 is located at coordinates [1069.86, 284.05] with a bounding box of width 19.26 and height 44.40.
At frame 46, person 8 is located at coordinates [1073.28, 284.36] with a bounding box of width 20.46 and height 47.26.
At frame 47, person 8 is located at coordinates [1074.59, 284.03] with a bounding box of width 22.71 and height 52.57.
At frame 52, person 8 is located at coordinates [1094.60, 281.35] with a bounding box of width 24.06 and height 56.06.
At frame 53, person 8 is located at coordinates [1099.75, 281.09] with a bounding box of width 22.43 and height 52.63.
At frame 54, person 8 is located at coordinates [1105.64, 280.69] with a bounding box of width 22.34 and height 52.94.
At frame 55, person 8 is located at coordinates [1111.22, 279.86] with a bounding box of width 23.83 and height 56.70.
At frame 56, person 8 is located at coordinates [1114.52, 279.27] with a bounding box of width 24.08 and height 57.41.
At frame 57, person 8 is located at coordinates [1117.92, 278.56] with a bounding box of width 23.45 and height 56.02.
At frame 58, person 8 is located at coordinates [1126.27, 278.20] with a bounding box of width 22.87 and height 54.97.
At frame 59, person 8 is located at coordinates [1132.25, 277.78] with a bounding box of width 24.51 and height 59.00.
At frame 60, person 8 is located at coordinates [1136.03, 276.86] with a bounding box of width 25.64 and height 62.37.
At frame 61, person 8 is located at coordinates [1142.34, 278.41] with a bounding box of width 24.47 and height 59.51.
At frame 62, person 8 is located at coordinates [1149.04, 277.00] with a bounding box of width 26.07 and height 63.88.
At frame 63, person 8 is located at coordinates [1158.45, 279.99] with a bounding box of width 24.03 and height 58.94.
At frame 64, person 8 is located at coordinates [1165.63, 280.25] with a bounding box of width 22.09 and height 54.45.
At frame 65, person 8 is located at coordinates [1172.69, 279.53] with a bounding box of width 22.50 and height 55.21.
At frame 66, person 8 is located at coordinates [1181.12, 278.60] with a bounding box of width 23.95 and height 58.72.
At frame 68, person 13 is located at coordinates [1090.15, 279.53] with a bounding box of width 20.67 and height 50.57.
At frame 68, person 8 is located at coordinates [1200.18, 279.48] with a bounding box of width 23.36 and height 57.80.
At frame 69, person 13 is located at coordinates [1094.42, 280.64] with a bounding box of width 21.71 and height 53.15.
At frame 69, person 8 is located at coordinates [1210.13, 280.02] with a bounding box of width 22.93 and height 57.01.
At frame 70, person 13 is located at coordinates [1101.66, 280.67] with a bounding box of width 22.12 and height 54.11.
At frame 70, person 8 is located at coordinates [1219.38, 278.72] with a bounding box of width 25.62 and height 63.94.
At frame 70, person 14 is located at coordinates [1125.03, 295.49] with a bounding box of width 28.61 and height 58.65.
At frame 71, person 13 is located at coordinates [1108.33, 280.09] with a bounding box of width 24.78 and height 60.79.
At frame 71, person 8 is located at coordinates [1230.34, 278.92] with a bounding box of width 24.91 and height 62.38.
At frame 71, person 14 is located at coordinates [1130.21, 295.92] with a bounding box of width 27.93 and height 57.28.
At frame 72, person 13 is located at coordinates [1113.50, 286.50] with a bounding box of width 29.33 and height 71.84.
At frame 72, person 14 is located at coordinates [1133.41, 297.34] with a bounding box of width 26.77 and height 55.07.
At frame 73, person 13 is located at coordinates [1122.67, 283.34] with a bounding box of width 27.00 and height 65.91.
At frame 74, person 13 is located at coordinates [1133.53, 282.76] with a bounding box of width 23.02 and height 56.26.
At frame 75, person 13 is located at coordinates [1143.93, 281.52] with a bounding box of width 22.14 and height 54.37.
At frame 76, person 13 is located at coordinates [1154.12, 280.60] with a bounding box of width 21.96 and height 54.23.
At frame 77, person 13 is located at coordinates [1163.99, 279.76] with a bounding box of width 23.39 and height 58.29.
At frame 78, person 13 is located at coordinates [1174.73, 279.35] with a bounding box of width 22.49 and height 56.17.
At frame 78, person 14 is located at coordinates [1145.91, 293.52] with a bounding box of width 29.26 and height 60.80.
At frame 79, person 13 is located at coordinates [1184.56, 277.80] with a bounding box of width 25.04 and height 62.81.
At frame 79, person 14 is located at coordinates [1150.01, 292.95] with a bounding box of width 30.51 and height 64.10.
At frame 80, person 13 is located at coordinates [1198.40, 278.19] with a bounding box of width 23.49 and height 59.15.
At frame 80, person 14 is located at coordinates [1155.12, 293.52] with a bounding box of width 29.02 and height 61.64.
At frame 81, person 13 is located at coordinates [1211.06, 278.58] with a bounding box of width 23.43 and height 59.47.
At frame 81, person 14 is located at coordinates [1160.33, 294.46] with a bounding box of width 27.26 and height 58.72.
At frame 82, person 13 is located at coordinates [1223.01, 279.51] with a bounding box of width 22.36 and height 56.84.
At frame 83, person 16 is located at coordinates [1115.37, 279.47] with a bounding box of width 21.86 and height 54.00.
At frame 89, person 14 is located at coordinates [1179.92, 278.66] with a bounding box of width 31.26 and height 68.84.
At frame 90, person 14 is located at coordinates [1187.83, 277.97] with a bounding box of width 29.64 and height 66.69.
At frame 91, person 14 is located at coordinates [1199.73, 276.79] with a bounding box of width 28.53 and height 65.45.
