At frame 0.0, person 1.0 is located at coordinates [831.32, 311.15] with a bounding box of width 76.97 and height 151.58.
 At frame 0.0, person 2.0 is located at coordinates [805.86, 309.67] with a bounding box of width 27.24 and height 62.76.
 At frame 1.0, person 1.0 is located at coordinates [831.83, 310.38] with a bounding box of width 80.06 and height 157.74.
 At frame 1.0, person 2.0 is located at coordinates [811.74, 309.93] with a bounding box of width 26.78 and height 61.74.
 At frame 2.0, person 1.0 is located at coordinates [833.53, 309.79] with a bounding box of width 80.09 and height 157.90.
 At frame 2.0, person 2.0 is located at coordinates [815.63, 308.81] with a bounding box of width 27.43 and height 63.42.
 At frame 3.0, person 1.0 is located at coordinates [836.32, 309.62] with a bounding box of width 77.34 and height 152.44.
 At frame 3.0, person 2.0 is located at coordinates [818.20, 308.24] with a bounding box of width 27.41 and height 63.51.
 At frame 4.0, person 1.0 is located at coordinates [840.03, 310.25] with a bounding box of width 76.01 and height 150.16.
 At frame 4.0, person 2.0 is located at coordinates [821.29, 308.73] with a bounding box of width 27.81 and height 64.37.
 At frame 5.0, person 1.0 is located at coordinates [841.77, 310.68] with a bounding box of width 76.96 and height 152.48.
 At frame 5.0, person 2.0 is located at coordinates [824.49, 308.71] with a bounding box of width 28.42 and height 65.48.
 At frame 6.0, person 1.0 is located at coordinates [843.26, 309.38] with a bounding box of width 77.83 and height 154.98.
 At frame 6.0, person 2.0 is located at coordinates [826.89, 307.68] with a bounding box of width 28.32 and height 65.03.
 At frame 7.0, person 1.0 is located at coordinates [845.38, 308.91] with a bounding box of width 77.26 and height 154.68.
 At frame 7.0, person 2.0 is located at coordinates [829.02, 307.72] with a bounding box of width 28.71 and height 64.83.
 At frame 8.0, person 1.0 is located at coordinates [850.12, 308.54] with a bounding box of width 72.98 and height 146.09.
 At frame 8.0, person 2.0 is located at coordinates [831.18, 307.15] with a bounding box of width 29.07 and height 64.74.
 At frame 9.0, person 1.0 is located at coordinates [851.90, 307.19] with a bounding box of width 72.76 and height 145.78.
