At frame 0.0, person 1.0 is located at coordinates [1238.68, 371.25] with a bounding box of width 21.32 and height 53.88.
 At frame 0.0, person 2.0 is located at coordinates [1258.82, 363.26] with a bounding box of width 30.79 and height 84.08.
 At frame 0.0, person 3.0 is located at coordinates [1034.41, 374.21] with a bounding box of width 13.03 and height 33.75.
 At frame 0.0, person 4.0 is located at coordinates [1105.46, 376.58] with a bounding box of width 16.58 and height 36.71.
 At frame 1.0, person 1.0 is located at coordinates [1247.00, 371.25] with a bounding box of width 21.12 and height 53.37.
 At frame 1.0, person 3.0 is located at coordinates [1037.90, 372.93] with a bounding box of width 13.24 and height 34.26.
 At frame 1.0, person 4.0 is located at coordinates [1111.29, 374.52] with a bounding box of width 17.26 and height 38.25.
 At frame 2.0, person 1.0 is located at coordinates [1251.87, 369.86] with a bounding box of width 21.62 and height 54.67.
 At frame 2.0, person 3.0 is located at coordinates [1040.03, 373.39] with a bounding box of width 12.96 and height 33.43.
 At frame 2.0, person 4.0 is located at coordinates [1115.57, 374.40] with a bounding box of width 17.16 and height 38.06.
 At frame 3.0, person 1.0 is located at coordinates [1255.77, 367.86] with a bounding box of width 22.10 and height 55.98.
 At frame 3.0, person 3.0 is located at coordinates [1041.98, 373.11] with a bounding box of width 12.91 and height 33.16.
 At frame 3.0, person 4.0 is located at coordinates [1119.47, 373.95] with a bounding box of width 17.29 and height 38.42.
 At frame 4.0, person 1.0 is located at coordinates [1260.41, 368.09] with a bounding box of width 22.06 and height 55.95.
 At frame 4.0, person 3.0 is located at coordinates [1044.26, 372.59] with a bounding box of width 12.94 and height 33.09.
 At frame 4.0, person 4.0 is located at coordinates [1124.03, 375.12] with a bounding box of width 16.52 and height 36.79.
 At frame 5.0, person 1.0 is located at coordinates [1264.27, 367.39] with a bounding box of width 22.19 and height 56.74.
 At frame 5.0, person 3.0 is located at coordinates [1046.93, 373.06] with a bounding box of width 13.22 and height 33.50.
 At frame 5.0, person 4.0 is located at coordinates [1128.42, 374.47] with a bounding box of width 17.06 and height 37.95.
 At frame 6.0, person 1.0 is located at coordinates [1266.71, 368.61] with a bounding box of width 21.37 and height 55.36.
 At frame 6.0, person 3.0 is located at coordinates [1048.17, 373.02] with a bounding box of width 13.33 and height 33.66.
 At frame 6.0, person 4.0 is located at coordinates [1130.42, 373.43] with a bounding box of width 17.60 and height 39.16.
 At frame 7.0, person 3.0 is located at coordinates [1050.07, 372.60] with a bounding box of width 13.55 and height 34.12.
 At frame 7.0, person 4.0 is located at coordinates [1135.02, 373.46] with a bounding box of width 17.79 and height 39.59.
 At frame 8.0, person 3.0 is located at coordinates [1052.34, 372.65] with a bounding box of width 13.51 and height 33.89.
 At frame 8.0, person 4.0 is located at coordinates [1138.70, 373.89] with a bounding box of width 17.61 and height 39.35.
 At frame 9.0, person 3.0 is located at coordinates [1053.55, 370.27] with a bounding box of width 14.19 and height 35.40.
 At frame 9.0, person 4.0 is located at coordinates [1142.84, 372.26] with a bounding box of width 18.06 and height 40.43.
 At frame 10.0, person 3.0 is located at coordinates [1054.78, 369.80] with a bounding box of width 14.34 and height 35.56.
 At frame 10.0, person 4.0 is located at coordinates [1145.84, 369.52] with a bounding box of width 18.98 and height 42.79.
 At frame 11.0, person 3.0 is located at coordinates [1058.02, 369.44] with a bounding box of width 14.17 and height 34.83.
 At frame 11.0, person 4.0 is located at coordinates [1150.15, 367.72] with a bounding box of width 19.68 and height 44.82.
 At frame 12.0, person 3.0 is located at coordinates [1060.50, 367.94] with a bounding box of width 14.59 and height 35.73.
 At frame 12.0, person 4.0 is located at coordinates [1153.62, 366.66] with a bounding box of width 19.93 and height 45.59.
 At frame 13.0, person 3.0 is located at coordinates [1062.96, 367.40] with a bounding box of width 14.68 and height 36.05.
 At frame 13.0, person 4.0 is located at coordinates [1159.05, 367.82] with a bounding box of width 19.28 and height 44.32.
 At frame 14.0, person 3.0 is located at coordinates [1064.42, 368.38] with a bounding box of width 14.27 and height 35.00.
 At frame 14.0, person 4.0 is located at coordinates [1162.15, 366.94] with a bounding box of width 19.80 and height 45.74.
 At frame 15.0, person 3.0 is located at coordinates [1067.78, 369.38] with a bounding box of width 13.84 and height 33.79.
 At frame 15.0, person 4.0 is located at coordinates [1168.74, 367.40] with a bounding box of width 18.96 and height 43.95.
 At frame 16.0, person 3.0 is located at coordinates [1070.59, 369.97] with a bounding box of width 13.57 and height 32.94.
 At frame 16.0, person 4.0 is located at coordinates [1174.55, 368.01] with a bounding box of width 18.04 and height 42.03.
 At frame 16.0, person 5.0 is located at coordinates [1234.42, 367.34] with a bounding box of width 18.95 and height 46.18.
 At frame 17.0, person 3.0 is located at coordinates [1072.11, 369.20] with a bounding box of width 13.91 and height 33.43.
 At frame 17.0, person 4.0 is located at coordinates [1178.93, 366.87] with a bounding box of width 18.48 and height 43.28.
 At frame 17.0, person 5.0 is located at coordinates [1237.25, 364.88] with a bounding box of width 19.86 and height 48.47.
 At frame 18.0, person 3.0 is located at coordinates [1073.21, 368.33] with a bounding box of width 14.39 and height 34.40.
 At frame 18.0, person 4.0 is located at coordinates [1183.11, 365.89] with a bounding box of width 18.73 and height 44.11.
 At frame 18.0, person 5.0 is located at coordinates [1240.37, 365.62] with a bounding box of width 19.43 and height 47.44.
 At frame 18.0, person 6.0 is located at coordinates [1172.18, 369.77] with a bounding box of width 17.19 and height 42.39.
 At frame 19.0, person 3.0 is located at coordinates [1076.77, 368.21] with a bounding box of width 14.36 and height 34.38.
 At frame 19.0, person 4.0 is located at coordinates [1188.29, 366.11] with a bounding box of width 18.34 and height 43.26.
 At frame 19.0, person 5.0 is located at coordinates [1246.47, 365.52] with a bounding box of width 19.59 and height 47.90.
 At frame 19.0, person 6.0 is located at coordinates [1178.25, 369.54] with a bounding box of width 16.87 and height 41.66.
 At frame 20.0, person 3.0 is located at coordinates [1077.73, 368.17] with a bounding box of width 14.20 and height 33.97.
 At frame 20.0, person 4.0 is located at coordinates [1192.00, 366.02] with a bounding box of width 17.48 and height 41.34.
