At frame 0, person 1 is located at coordinates [933.16, 258.45] with a bounding box of width 20.13 and height 53.59.
 At frame 0, person 2 is located at coordinates [978.75, 255.20] with a bounding box of width 22.50 and height 61.28.
 At frame 0, person 3 is located at coordinates [1158.75, 268.96] with a bounding box of width 28.42 and height 69.72.
 At frame 0, person 4 is located at coordinates [1000.66, 254.16] with a bounding box of width 24.87 and height 67.65.
 At frame 0, person 5 is located at coordinates [990.00, 257.42] with a bounding box of width 21.32 and height 62.91.
 At frame 1, person 1 is located at coordinates [935.64, 257.30] with a bounding box of width 20.30 and height 53.97.
 At frame 1, person 2 is located at coordinates [983.07, 253.01] with a bounding box of width 23.10 and height 62.95.
 At frame 1, person 3 is located at coordinates [1152.83, 251.62] with a bounding box of width 35.12 and height 86.29.
 At frame 1, person 4 is located at coordinates [1005.40, 252.49] with a bounding box of width 24.64 and height 67.01.
 At frame 1, person 5 is located at coordinates [993.44, 257.03] with a bounding box of width 21.64 and height 63.81.
 At frame 2, person 1 is located at coordinates [938.67, 255.37] with a bounding box of width 20.64 and height 54.84.
 At frame 2, person 3 is located at coordinates [1153.38, 251.27] with a bounding box of width 33.96 and height 83.78.
 At frame 2, person 4 is located at coordinates [1009.43, 252.21] with a bounding box of width 23.72 and height 64.58.
 At frame 2, person 5 is located at coordinates [991.97, 254.21] with a bounding box of width 21.22 and height 62.36.
 At frame 2, person 6 is located at coordinates [1134.49, 271.57] with a bounding box of width 37.39 and height 65.93.
 At frame 3, person 1 is located at coordinates [942.76, 255.46] with a bounding box of width 20.68 and height 54.89.
 At frame 3, person 4 is located at coordinates [1016.22, 252.38] with a bounding box of width 24.14 and height 65.92.
 At frame 3, person 5 is located at coordinates [995.23, 251.50] with a bounding box of width 22.60 and height 66.21.
 At frame 3, person 6 is located at coordinates [1141.71, 271.50] with a bounding box of width 37.98 and height 67.15.
 At frame 4, person 1 is located at coordinates [944.90, 255.76] with a bounding box of width 20.61 and height 54.44.
 At frame 4, person 4 is located at coordinates [1019.51, 251.58] with a bounding box of width 24.25 and height 66.15.
 At frame 4, person 5 is located at coordinates [999.17, 251.85] with a bounding box of width 23.14 and height 67.54.
 At frame 4, person 6 is located at coordinates [1148.06, 271.13] with a bounding box of width 38.50 and height 68.35.
 At frame 5, person 1 is located at coordinates [947.52, 255.79] with a bounding box of width 20.78 and height 54.81.
 At frame 5, person 4 is located at coordinates [1022.69, 253.22] with a bounding box of width 23.97 and height 65.61.
 At frame 5, person 5 is located at coordinates [1003.66, 251.36] with a bounding box of width 24.51 and height 71.17.
 At frame 5, person 6 is located at coordinates [1162.31, 270.25] with a bounding box of width 41.02 and height 72.76.
 At frame 6, person 1 is located at coordinates [951.21, 254.88] with a bounding box of width 21.67 and height 56.89.
 At frame 6, person 4 is located at coordinates [1031.34, 253.19] with a bounding box of width 25.07 and height 68.13.
 At frame 6, person 5 is located at coordinates [1009.53, 251.12] with a bounding box of width 25.11 and height 72.53.
 At frame 6, person 6 is located at coordinates [1171.12, 271.82] with a bounding box of width 41.72 and height 74.21.
 At frame 7, person 1 is located at coordinates [953.73, 256.07] with a bounding box of width 21.81 and height 57.13.
 At frame 7, person 4 is located at coordinates [1035.59, 251.87] with a bounding box of width 26.02 and height 70.32.
 At frame 7, person 5 is located at coordinates [1012.62, 251.57] with a bounding box of width 24.15 and height 69.69.
 At frame 7, person 6 is located at coordinates [1177.26, 270.18] with a bounding box of width 43.46 and height 77.89.
 At frame 7, person 8 is located at coordinates [1054.98, 245.19] with a bounding box of width 32.75 and height 82.95.
 At frame 8, person 1 is located at coordinates [961.73, 256.54] with a bounding box of width 22.65 and height 59.19.
 At frame 8, person 4 is located at coordinates [1034.23, 251.96] with a bounding box of width 27.92 and height 75.28.
 At frame 8, person 6 is located at coordinates [1196.74, 268.00] with a bounding box of width 47.37 and height 84.31.
 At frame 8, person 8 is located at coordinates [1053.38, 248.52] with a bounding box of width 32.12 and height 81.28.
 At frame 9, person 1 is located at coordinates [967.09, 257.11] with a bounding box of width 23.48 and height 61.11.
 At frame 9, person 4 is located at coordinates [1036.85, 253.16] with a bounding box of width 29.07 and height 78.08.
 At frame 9, person 6 is located at coordinates [1213.76, 271.01] with a bounding box of width 47.16 and height 84.39.
 At frame 9, person 8 is located at coordinates [1058.55, 252.96] with a bounding box of width 30.37 and height 76.78.
 At frame 10, person 1 is located at coordinates [970.80, 257.62] with a bounding box of width 24.07 and height 62.49.
 At frame 10, person 4 is located at coordinates [1039.15, 252.77] with a bounding box of width 29.72 and height 79.61.
 At frame 10, person 6 is located at coordinates [1226.57, 271.87] with a bounding box of width 47.99 and height 86.59.
 At frame 10, person 8 is located at coordinates [1067.20, 253.56] with a bounding box of width 30.37 and height 77.00.
 At frame 10, person 12 is located at coordinates [409.76, 243.18] with a bounding box of width 28.73 and height 74.13.
 At frame 11, person 1 is located at coordinates [972.95, 258.49] with a bounding box of width 24.09 and height 62.32.
 

=====================================================

At frame 11, person 4 is located at coordinates [1042.44, 254.54] with a bounding box of width 29.51 and height 78.61.
 At frame 11, person 6 is located at coordinates [1234.82, 272.40] with a bounding box of width 48.57 and height 88.12.
 At frame 11, person 8 is located at coordinates [1069.08, 254.63] with a bounding box of width 31.85 and height 80.26.
 At frame 11, person 12 is located at coordinates [408.04, 244.93] with a bounding box of width 28.67 and height 74.04.
 At frame 11, person 14 is located at coordinates [1047.65, 255.49] with a bounding box of width 30.35 and height 79.46.
 At frame 12, person 1 is located at coordinates [975.92, 258.72] with a bounding box of width 24.16 and height 62.30.
 At frame 12, person 4 is located at coordinates [1046.20, 256.40] with a bounding box of width 28.00 and height 74.83.
 At frame 12, person 6 is located at coordinates [1242.59, 271.45] with a bounding box of width 48.04 and height 88.62.
 At frame 12, person 8 is located at coordinates [1074.60, 252.68] with a bounding box of width 32.21 and height 80.57.
 At frame 12, person 12 is located at coordinates [405.88, 245.73] with a bounding box of width 29.07 and height 75.17.
 At frame 12, person 14 is located at coordinates [1051.38, 254.36] with a bounding box of width 30.14 and height 78.92.
 At frame 13, person 1 is located at coordinates [978.72, 257.93] with a bounding box of width 24.45 and height 62.95.
 At frame 13, person 4 is located at coordinates [1050.26, 258.00] with a bounding box of width 26.57 and height 71.23.
 At frame 13, person 6 is located at coordinates [1250.46, 270.11] with a bounding box of width 48.05 and height 90.65.
 At frame 13, person 8 is located at coordinates [1083.64, 251.76] with a bounding box of width 31.84 and height 79.79.
 At frame 13, person 12 is located at coordinates [403.43, 243.28] with a bounding box of width 31.07 and height 80.38.
 At frame 13, person 14 is located at coordinates [1058.65, 253.40] with a bounding box of width 30.05 and height 78.62.
 At frame 14, person 1 is located at coordinates [983.09, 256.75] with a bounding box of width 24.67 and height 63.46.
 At frame 14, person 4 is located at coordinates [1057.09, 256.97] with a bounding box of width 26.24 and height 70.67.
 At frame 14, person 8 is located at coordinates [1091.12, 249.15] with a bounding box of width 33.51 and height 83.15.
