At frame 0, person 1 is located at coordinates [850.26, 256.97] with a bounding box of width 45.00 and height 111.32.
 At frame 1, person 1 is located at coordinates [852.50, 260.06] with a bounding box of width 45.66 and height 112.86.
 At frame 2, person 1 is located at coordinates [853.43, 261.73] with a bounding box of width 46.52 and height 114.96.
 At frame 3, person 1 is located at coordinates [853.91, 262.88] with a bounding box of width 47.24 and height 116.94.
 At frame 4, person 1 is located at coordinates [853.69, 262.77] with a bounding box of width 47.26 and height 117.10.
 At frame 5, person 1 is located at coordinates [853.68, 262.67] with a bounding box of width 47.05 and height 116.66.
 At frame 6, person 1 is located at coordinates [853.87, 261.87] with a bounding box of width 47.34 and height 117.39.
 At frame 7, person 1 is located at coordinates [854.28, 260.45] with a bounding box of width 47.54 and height 118.32.
 At frame 8, person 1 is located at coordinates [857.00, 258.21] with a bounding box of width 48.05 and height 119.74.
 At frame 9, person 1 is located at coordinates [860.09, 255.50] with a bounding box of width 48.80 and height 120.73.
 At frame 10, person 1 is located at coordinates [862.18, 252.52] with a bounding box of width 50.30 and height 123.43.
 At frame 11, person 1 is located at coordinates [863.29, 249.67] with a bounding box of width 50.91 and height 124.41.
 At frame 12, person 1 is located at coordinates [866.21, 245.10] with a bounding box of width 52.28 and height 127.08.
 At frame 13, person 1 is located at coordinates [869.49, 240.02] with a bounding box of width 53.00 and height 127.96.
 At frame 14, person 1 is located at coordinates [870.62, 235.61] with a bounding box of width 54.19 and height 129.41.
 At frame 15, person 1 is located at coordinates [872.77, 231.57] with a bounding box of width 54.94 and height 130.21.
 At frame 16, person 1 is located at coordinates [876.10, 227.78] with a bounding box of width 55.52 and height 130.66.
 At frame 17, person 1 is located at coordinates [879.05, 224.20] with a bounding box of width 56.88 and height 132.83.
 At frame 18, person 1 is located at coordinates [880.80, 222.05] with a bounding box of width 57.55 and height 133.13.
 At frame 19, person 1 is located at coordinates [881.68, 218.13] with a bounding box of width 58.77 and height 134.46.
