At frame 0.0, person 1.0 is located at coordinates [775.07, 343.72] with a bounding box of width 14.21 and height 33.75.
 At frame 0.0, person 2.0 is located at coordinates [792.24, 342.24] with a bounding box of width 18.95 and height 44.41.
 At frame 0.0, person 3.0 is located at coordinates [979.34, 336.91] with a bounding box of width 20.13 and height 53.29.
 At frame 0.0, person 4.0 is located at coordinates [1068.75, 327.14] with a bounding box of width 35.53 and height 92.96.
 At frame 0.0, person 5.0 is located at coordinates [815.33, 338.39] with a bounding box of width 16.58 and height 45.00.
 At frame 0.0, person 6.0 is located at coordinates [1062.83, 320.62] with a bounding box of width 24.87 and height 70.46.
 At frame 0.0, person 7.0 is located at coordinates [1104.28, 320.92] with a bounding box of width 30.79 and height 87.63.
 At frame 1.0, person 2.0 is located at coordinates [800.76, 343.26] with a bounding box of width 19.38 and height 45.44.
 At frame 1.0, person 3.0 is located at coordinates [989.26, 338.96] with a bounding box of width 21.89 and height 57.91.
 At frame 1.0, person 4.0 is located at coordinates [1075.23, 324.06] with a bounding box of width 26.68 and height 69.84.
 At frame 1.0, person 5.0 is located at coordinates [823.17, 339.16] with a bounding box of width 17.34 and height 47.06.
 At frame 1.0, person 7.0 is located at coordinates [1120.84, 324.00] with a bounding box of width 28.50 and height 80.95.
 At frame 2.0, person 2.0 is located at coordinates [809.09, 345.27] with a bounding box of width 19.44 and height 45.61.
 At frame 2.0, person 3.0 is located at coordinates [997.65, 340.43] with a bounding box of width 22.20 and height 58.72.
 At frame 2.0, person 4.0 is located at coordinates [1087.07, 326.37] with a bounding box of width 25.22 and height 66.05.
 At frame 2.0, person 5.0 is located at coordinates [831.92, 341.56] with a bounding box of width 17.16 and height 46.50.
 At frame 2.0, person 7.0 is located at coordinates [1137.41, 325.48] with a bounding box of width 28.21 and height 79.82.
 At frame 3.0, person 2.0 is located at coordinates [818.15, 347.24] with a bounding box of width 19.84 and height 46.55.
 At frame 3.0, person 3.0 is located at coordinates [1006.39, 341.12] with a bounding box of width 23.43 and height 61.99.
 At frame 3.0, person 4.0 is located at coordinates [1099.70, 328.83] with a bounding box of width 25.01 and height 65.42.
 At frame 3.0, person 5.0 is located at coordinates [840.53, 343.46] with a bounding box of width 17.94 and height 48.53.
 At frame 3.0, person 7.0 is located at coordinates [1154.14, 325.16] with a bounding box of width 29.44 and height 82.83.
 At frame 4.0, person 2.0 is located at coordinates [828.68, 349.77] with a bounding box of width 19.80 and height 46.41.
 At frame 4.0, person 4.0 is located at coordinates [1114.67, 330.14] with a bounding box of width 26.03 and height 68.19.
 At frame 4.0, person 5.0 is located at coordinates [851.33, 345.73] with a bounding box of width 17.92 and height 48.33.
 At frame 4.0, person 7.0 is located at coordinates [1174.44, 327.84] with a bounding box of width 30.86 and height 86.41.
 At frame 5.0, person 2.0 is located at coordinates [837.64, 351.84] with a bounding box of width 19.40 and height 45.49.
 At frame 5.0, person 4.0 is located at coordinates [1126.89, 332.64] with a bounding box of width 26.03 and height 67.85.
 At frame 5.0, person 5.0 is located at coordinates [859.10, 348.13] with a bounding box of width 16.80 and height 45.27.
 At frame 5.0, person 7.0 is located at coordinates [1189.07, 337.03] with a bounding box of width 30.70 and height 85.55.
 At frame 6.0, person 2.0 is located at coordinates [847.89, 352.26] with a bounding box of width 19.24 and height 45.15.
 At frame 6.0, person 4.0 is located at coordinates [1141.30, 331.74] with a bounding box of width 27.99 and height 72.85.
 At frame 6.0, person 5.0 is located at coordinates [868.64, 348.01] with a bounding box of width 17.05 and height 45.84.
 At frame 7.0, person 2.0 is located at coordinates [856.74, 351.92] with a bounding box of width 19.49 and height 45.85.
 At frame 7.0, person 4.0 is located at coordinates [1153.66, 331.80] with a bounding box of width 28.63 and height 74.57.
 At frame 7.0, person 5.0 is located at coordinates [876.31, 348.14] with a bounding box of width 16.81 and height 45.22.
 At frame 8.0, person 2.0 is located at coordinates [865.05, 350.95] with a bounding box of width 19.94 and height 46.91.
 At frame 8.0, person 4.0 is located at coordinates [1165.52, 330.18] with a bounding box of width 29.19 and height 76.00.
 At frame 8.0, person 5.0 is located at coordinates [884.05, 346.48] with a bounding box of width 17.43 and height 46.63.
 At frame 8.0, person 6.0 is located at coordinates [1056.56, 340.88] with a bounding box of width 28.01 and height 79.26.
 At frame 9.0, person 2.0 is located at coordinates [874.43, 348.76] with a bounding box of width 20.32 and height 48.09.
 At frame 9.0, person 4.0 is located at coordinates [1179.75, 326.97] with a bounding box of width 32.09 and height 83.21.
 At frame 9.0, person 5.0 is located at coordinates [893.43, 344.66] with a bounding box of width 17.49 and height 46.75.
 At frame 9.0, person 6.0 is located at coordinates [1062.56, 341.34] with a bounding box of width 29.24 and height 82.44.
 At frame 9.0, person 3.0 is located at coordinates [1040.52, 334.31] with a bounding box of width 28.18 and height 73.61.
 At frame 10.0, person 2.0 is located at coordinates [882.70, 346.34] with a bounding box of width 20.53 and height 48.91.
 At frame 10.0, person 4.0 is located at coordinates [1189.72, 324.06] with a bounding box of width 39.06 and height 101.06.
 At frame 10.0, person 5.0 is located at coordinates [901.50, 342.75] with a bounding box of width 18.01 and height 47.98.
 At frame 10.0, person 6.0 is located at coordinates [1070.93, 337.97] with a bounding box of width 30.44 and height 85.51.
 At frame 10.0, person 3.0 is located at coordinates [1048.01, 332.24] with a bounding box of width 29.04 and height 75.44.
 At frame 11.0, person 2.0 is located at coordinates [890.68, 343.26] with a bounding box of width 21.19 and height 50.77.
 At frame 11.0, person 5.0 is located at coordinates [911.94, 341.06] with a bounding box of width 18.46 and height 48.83.
 At frame 11.0, person 3.0 is located at coordinates [1057.34, 331.68] with a bounding box of width 29.06 and height 74.94.
 At frame 12.0, person 2.0 is located at coordinates [898.76, 341.70] with a bounding box of width 20.85 and height 50.31.
 At frame 12.0, person 5.0 is located at coordinates [920.39, 339.63] with a bounding box of width 19.19 and height 50.31.
 At frame 12.0, person 3.0 is located at coordinates [1065.82, 331.28] with a bounding box of width 28.90 and height 73.92.
 At frame 13.0, person 2.0 is located at coordinates [906.43, 340.53] with a bounding box of width 21.00 and height 50.88.
 At frame 13.0, person 5.0 is located at coordinates [926.38, 337.74] with a bounding box of width 19.53 and height 50.47.
 At frame 13.0, person 3.0 is located at coordinates [1074.27, 331.53] with a bounding box of width 31.12 and height 79.33.
