At frame 0, person 1 is located at coordinates [887.57, 345.79] with a bounding box of width 37.89 and height 95.33.
 At frame 0, person 2 is located at coordinates [710.53, 325.36] with a bounding box of width 50.92 and height 121.38.
 At frame 0, person 3 is located at coordinates [1228.03, 347.27] with a bounding box of width 52.11 and height 143.29.
 At frame 1, person 1 is located at coordinates [888.80, 346.30] with a bounding box of width 37.47 and height 94.30.
 At frame 1, person 2 is located at coordinates [709.64, 325.10] with a bounding box of width 50.64 and height 120.87.
 At frame 1, person 3 is located at coordinates [1230.01, 345.99] with a bounding box of width 52.24 and height 143.80.
 At frame 2, person 1 is located at coordinates [889.38, 346.39] with a bounding box of width 37.59 and height 94.59.
 At frame 2, person 2 is located at coordinates [707.68, 325.29] with a bounding box of width 50.51 and height 120.78.
 At frame 2, person 3 is located at coordinates [1231.91, 343.92] with a bounding box of width 52.85 and height 145.73.
 At frame 3, person 1 is located at coordinates [889.65, 345.73] with a bounding box of width 38.33 and height 96.50.
 At frame 3, person 2 is located at coordinates [705.47, 325.36] with a bounding box of width 50.07 and height 120.31.
 At frame 3, person 3 is located at coordinates [1234.47, 344.41] with a bounding box of width 52.63 and height 145.44.
 At frame 4, person 1 is located at coordinates [890.24, 345.95] with a bounding box of width 38.38 and height 96.69.
 At frame 4, person 2 is located at coordinates [703.57, 324.72] with a bounding box of width 50.70 and height 122.36.
 At frame 4, person 3 is located at coordinates [1235.91, 343.33] with a bounding box of width 52.94 and height 147.03.
 At frame 5, person 1 is located at coordinates [891.32, 346.03] with a bounding box of width 38.28 and height 96.29.
 At frame 5, person 2 is located at coordinates [702.36, 324.92] with a bounding box of width 50.50 and height 122.62.
 At frame 5, person 3 is located at coordinates [1237.22, 342.99] with a bounding box of width 52.93 and height 147.12.
 At frame 6, person 1 is located at coordinates [892.14, 346.27] with a bounding box of width 38.12 and height 95.71.
 At frame 6, person 2 is located at coordinates [702.11, 324.59] with a bounding box of width 48.58 and height 118.56.
 At frame 6, person 3 is located at coordinates [1237.75, 342.91] with a bounding box of width 52.61 and height 146.70.
 At frame 7, person 1 is located at coordinates [892.80, 345.95] with a bounding box of width 38.10 and height 95.49.
 At frame 7, person 2 is located at coordinates [701.20, 324.47] with a bounding box of width 48.87 and height 119.97.
 At frame 7, person 3 is located at coordinates [1237.75, 338.01] with a bounding box of width 54.38 and height 152.23.
 At frame 8, person 1 is located at coordinates [892.98, 345.83] with a bounding box of width 38.14 and height 95.41.
 At frame 8, person 2 is located at coordinates [699.74, 324.03] with a bounding box of width 48.94 and height 120.88.
