At frame 0, person 1 is located at coordinates [775.66, 222.93] with a bounding box of width 40.26 and height 108.65.
 At frame 1, person 1 is located at coordinates [778.38, 219.59] with a bounding box of width 39.96 and height 107.88.
 At frame 2, person 1 is located at coordinates [781.11, 219.25] with a bounding box of width 40.00 and height 107.98.
 At frame 3, person 1 is located at coordinates [784.49, 219.20] with a bounding box of width 41.19 and height 111.19.
 At frame 3, person 2 is located at coordinates [719.98, 225.03] with a bounding box of width 27.75 and height 73.66.
 At frame 4, person 1 is located at coordinates [783.82, 218.35] with a bounding box of width 44.94 and height 121.48.
 At frame 4, person 2 is located at coordinates [720.48, 225.12] with a bounding box of width 28.20 and height 74.84.
 At frame 4, person 3 is located at coordinates [391.57, 219.11] with a bounding box of width 26.74 and height 61.11.
 At frame 5, person 1 is located at coordinates [786.39, 218.07] with a bounding box of width 45.35 and height 122.56.
 At frame 5, person 2 is located at coordinates [720.88, 223.67] with a bounding box of width 28.80 and height 76.38.
 At frame 5, person 3 is located at coordinates [387.40, 217.45] with a bounding box of width 29.55 and height 67.57.
 At frame 6, person 1 is located at coordinates [792.66, 218.81] with a bounding box of width 41.94 and height 113.25.
 At frame 6, person 3 is located at coordinates [386.50, 217.58] with a bounding box of width 28.25 and height 64.56.
 At frame 7, person 1 is located at coordinates [796.29, 219.33] with a bounding box of width 40.29 and height 108.64.
 At frame 7, person 3 is located at coordinates [384.40, 218.39] with a bounding box of width 28.08 and height 64.27.
 At frame 8, person 1 is located at coordinates [796.38, 218.40] with a bounding box of width 44.29 and height 119.64.
 At frame 8, person 3 is located at coordinates [383.15, 220.27] with a bounding box of width 25.86 and height 59.20.
 At frame 9, person 1 is located at coordinates [797.58, 218.85] with a bounding box of width 47.23 and height 128.06.
 At frame 9, person 3 is located at coordinates [379.51, 222.23] with a bounding box of width 25.70 and height 58.96.
 At frame 10, person 1 is located at coordinates [800.15, 220.56] with a bounding box of width 47.80 and height 129.96.
 At frame 10, person 3 is located at coordinates [376.22, 222.63] with a bounding box of width 27.06 and height 62.25.
 At frame 11, person 1 is located at coordinates [801.19, 221.93] with a bounding box of width 49.29 and height 133.96.
 At frame 11, person 3 is located at coordinates [379.15, 226.76] with a bounding box of width 21.91 and height 50.59.
 At frame 11, person 2 is located at coordinates [733.32, 229.23] with a bounding box of width 20.38 and height 53.76.
 At frame 12, person 1 is located at coordinates [806.39, 223.80] with a bounding box of width 48.52 and height 132.54.
 At frame 12, person 3 is located at coordinates [376.60, 226.77] with a bounding box of width 22.22 and height 51.44.
 At frame 12, person 2 is located at coordinates [735.50, 229.90] with a bounding box of width 18.65 and height 48.50.
 At frame 13, person 1 is located at coordinates [814.31, 225.98] with a bounding box of width 42.44 and height 115.83.
 At frame 13, person 3 is located at coordinates [373.43, 227.50] with a bounding box of width 22.59 and height 52.49.
 At frame 13, person 2 is located at coordinates [732.73, 229.85] with a bounding box of width 22.19 and height 57.44.
 At frame 14, person 1 is located at coordinates [818.69, 226.09] with a bounding box of width 41.97 and height 114.64.
 At frame 14, person 3 is located at coordinates [372.60, 227.42] with a bounding box of width 22.68 and height 52.92.
 At frame 14, person 2 is located at coordinates [732.19, 231.33] with a bounding box of width 24.35 and height 62.64.
 At frame 15, person 1 is located at coordinates [822.12, 227.02] with a bounding box of width 42.63 and height 116.53.
 At frame 15, person 3 is located at coordinates [371.38, 229.56] with a bounding box of width 22.71 and height 53.32.
