At frame 0, person 1 is located at coordinates [-21.95, 662.12] with a bounding box of width 112.44 and height 309.52.
 At frame 0, person 2 is located at coordinates [1098.65, 677.22] with a bounding box of width 37.30 and height 86.15.
 At frame 0, person 3 is located at coordinates [848.19, 709.19] with a bounding box of width 29.31 and height 63.95.
 At frame 0, person 4 is located at coordinates [180.30, 675.00] with a bounding box of width 32.42 and height 85.26.
 At frame 0, person 5 is located at coordinates [1078.22, 684.77] with a bounding box of width 30.20 and height 70.16.
 At frame 1, person 1 is located at coordinates [-44.43, 682.16] with a bounding box of width 109.77 and height 301.82.
 At frame 1, person 2 is located at coordinates [1105.04, 671.05] with a bounding box of width 35.31 and height 81.53.
 At frame 1, person 3 is located at coordinates [849.53, 706.50] with a bounding box of width 28.95 and height 63.18.
 At frame 1, person 4 is located at coordinates [174.93, 671.92] with a bounding box of width 28.89 and height 76.01.
 At frame 1, person 5 is located at coordinates [1083.11, 681.69] with a bounding box of width 26.60 and height 61.69.
 At frame 2, person 2 is located at coordinates [1106.75, 664.70] with a bounding box of width 36.57 and height 84.28.
 At frame 2, person 3 is located at coordinates [850.14, 701.16] with a bounding box of width 29.51 and height 64.44.
 At frame 2, person 4 is located at coordinates [166.48, 667.77] with a bounding box of width 27.44 and height 72.28.
 At frame 2, person 5 is located at coordinates [1085.93, 675.70] with a bounding box of width 26.36 and height 60.99.
 At frame 2, person 7 is located at coordinates [646.13, 701.64] with a bounding box of width 18.66 and height 48.85.
 At frame 3, person 2 is located at coordinates [1110.48, 657.18] with a bounding box of width 38.41 and height 88.52.
 At frame 3, person 3 is located at coordinates [851.85, 693.84] with a bounding box of width 29.98 and height 65.51.
 At frame 3, person 4 is located at coordinates [157.04, 662.81] with a bounding box of width 28.69 and height 75.68.
 At frame 3, person 5 is located at coordinates [1088.61, 669.27] with a bounding box of width 29.32 and height 67.87.
 At frame 3, person 7 is located at coordinates [645.99, 694.80] with a bounding box of width 18.93 and height 49.53.
 At frame 4, person 2 is located at coordinates [1114.95, 649.44] with a bounding box of width 38.75 and height 89.25.
 At frame 4, person 3 is located at coordinates [852.74, 687.05] with a bounding box of width 30.05 and height 65.84.
 At frame 4, person 4 is located at coordinates [147.02, 655.88] with a bounding box of width 30.98 and height 81.96.
 At frame 4, person 5 is located at coordinates [1093.10, 661.37] with a bounding box of width 29.14 and height 67.49.
 At frame 4, person 7 is located at coordinates [645.51, 689.42] with a bounding box of width 18.53 and height 48.39.
 At frame 5, person 2 is located at coordinates [1118.80, 640.42] with a bounding box of width 41.55 and height 95.67.
 At frame 5, person 3 is located at coordinates [854.42, 679.27] with a bounding box of width 30.36 and height 66.55.
 At frame 5, person 4 is located at coordinates [135.89, 649.94] with a bounding box of width 37.32 and height 98.85.
 At frame 5, person 5 is located at coordinates [1097.16, 652.47] with a bounding box of width 31.46 and height 72.88.
 At frame 5, person 7 is located at coordinates [644.85, 683.57] with a bounding box of width 18.74 and height 48.68.
 At frame 6, person 2 is located at coordinates [1124.36, 632.30] with a bounding box of width 42.32 and height 97.89.
 At frame 6, person 3 is located at coordinates [857.16, 672.14] with a bounding box of width 31.02 and height 68.01.
 At frame 6, person 4 is located at coordinates [127.10, 643.83] with a bounding box of width 39.10 and height 103.33.
 At frame 6, person 5 is located at coordinates [1101.62, 645.90] with a bounding box of width 33.18 and height 77.11.
 At frame 6, person 7 is located at coordinates [645.18, 675.45] with a bounding box of width 19.04 and height 49.42.
 At frame 7, person 2 is located at coordinates [1131.11, 626.55] with a bounding box of width 40.11 and height 92.68.
 At frame 7, person 3 is located at coordinates [859.79, 665.57] with a bounding box of width 32.10 and height 70.32.
 At frame 7, person 4 is located at coordinates [118.16, 638.98] with a bounding box of width 38.24 and height 100.87.
 At frame 7, person 5 is located at coordinates [1107.13, 639.84] with a bounding box of width 31.81 and height 73.97.
 At frame 7, person 7 is located at coordinates [644.36, 670.39] with a bounding box of width 19.16 and height 49.68.
 At frame 8, person 2 is located at coordinates [1136.89, 622.68] with a bounding box of width 40.85 and height 94.72.
 At frame 8, person 3 is located at coordinates [862.80, 662.16] with a bounding box of width 32.45 and height 71.14.
 At frame 8, person 4 is located at coordinates [106.92, 634.11] with a bounding box of width 40.74 and height 107.16.
 At frame 8, person 5 is located at coordinates [1112.28, 634.58] with a bounding box of width 31.98 and height 74.34.
 At frame 8, person 7 is located at coordinates [645.41, 668.53] with a bounding box of width 19.00 and height 49.15.
 At frame 9, person 2 is located at coordinates [1143.82, 621.74] with a bounding box of width 41.83 and height 97.19.
