At frame 0.0, person 1.0 is located at coordinates [605.72, 635.48] with a bounding box of width 36.41 and height 95.03.
 At frame 0.0, person 2.0 is located at coordinates [1425.49, 649.69] with a bounding box of width 31.97 and height 65.72.
 At frame 0.0, person 3.0 is located at coordinates [44.69, 631.04] with a bounding box of width 33.31 and height 78.16.
 At frame 1.0, person 1.0 is located at coordinates [604.81, 637.40] with a bounding box of width 36.70 and height 95.80.
 At frame 1.0, person 2.0 is located at coordinates [1432.43, 650.07] with a bounding box of width 30.44 and height 62.64.
 At frame 1.0, person 3.0 is located at coordinates [39.41, 631.42] with a bounding box of width 35.57 and height 83.55.
 At frame 2.0, person 1.0 is located at coordinates [603.37, 637.04] with a bounding box of width 37.25 and height 97.32.
 At frame 2.0, person 2.0 is located at coordinates [1438.22, 650.84] with a bounding box of width 29.42 and height 60.70.
 At frame 2.0, person 3.0 is located at coordinates [35.01, 634.85] with a bounding box of width 34.52 and height 81.12.
 At frame 3.0, person 1.0 is located at coordinates [602.66, 635.89] with a bounding box of width 37.95 and height 99.13.
 At frame 3.0, person 2.0 is located at coordinates [1445.94, 648.98] with a bounding box of width 27.98 and height 58.11.
 At frame 3.0, person 3.0 is located at coordinates [28.65, 633.96] with a bounding box of width 36.44 and height 85.61.
 At frame 4.0, person 1.0 is located at coordinates [601.71, 635.50] with a bounding box of width 38.40 and height 100.32.
 At frame 4.0, person 2.0 is located at coordinates [1452.27, 649.75] with a bounding box of width 29.97 and height 62.83.
 At frame 4.0, person 3.0 is located at coordinates [23.44, 633.96] with a bounding box of width 36.27 and height 85.12.
 At frame 5.0, person 1.0 is located at coordinates [600.54, 635.07] with a bounding box of width 39.02 and height 101.94.
 At frame 5.0, person 2.0 is located at coordinates [1458.23, 647.20] with a bounding box of width 31.19 and height 66.16.
 At frame 5.0, person 3.0 is located at coordinates [17.03, 630.76] with a bounding box of width 38.31 and height 89.89.
 At frame 5.0, person 5.0 is located at coordinates [1081.52, 639.74] with a bounding box of width 17.20 and height 42.99.
 At frame 6.0, person 1.0 is located at coordinates [599.05, 635.55] with a bounding box of width 39.00 and height 101.85.
 At frame 6.0, person 3.0 is located at coordinates [10.94, 635.05] with a bounding box of width 37.23 and height 87.32.
 At frame 6.0, person 5.0 is located at coordinates [1084.75, 640.92] with a bounding box of width 17.10 and height 42.71.
 At frame 6.0, person 6.0 is located at coordinates [1059.00, 639.83] with a bounding box of width 18.56 and height 41.39.
 At frame 7.0, person 1.0 is located at coordinates [596.92, 635.74] with a bounding box of width 39.19 and height 102.36.
 At frame 7.0, person 3.0 is located at coordinates [4.87, 638.24] with a bounding box of width 36.26 and height 84.99.
 At frame 7.0, person 5.0 is located at coordinates [1085.80, 640.25] with a bounding box of width 18.48 and height 46.10.
 At frame 7.0, person 6.0 is located at coordinates [1058.95, 638.51] with a bounding box of width 18.93 and height 42.36.
 At frame 8.0, person 1.0 is located at coordinates [595.17, 635.82] with a bounding box of width 39.45 and height 103.10.
 At frame 8.0, person 3.0 is located at coordinates [-1.64, 637.55] with a bounding box of width 36.53 and height 85.92.
 At frame 8.0, person 5.0 is located at coordinates [1090.55, 639.71] with a bounding box of width 21.50 and height 53.58.
 At frame 8.0, person 6.0 is located at coordinates [1061.33, 638.43] with a bounding box of width 18.39 and height 41.30.
 At frame 8.0, person 7.0 is located at coordinates [619.22, 639.38] with a bounding box of width 23.64 and height 61.82.
 At frame 9.0, person 1.0 is located at coordinates [591.54, 636.45] with a bounding box of width 39.66 and height 103.94.
 At frame 9.0, person 3.0 is located at coordinates [-6.82, 638.47] with a bounding box of width 35.39 and height 83.86.
 At frame 9.0, person 5.0 is located at coordinates [1093.38, 640.98] with a bounding box of width 22.59 and height 56.21.
 At frame 9.0, person 6.0 is located at coordinates [1062.33, 639.46] with a bounding box of width 19.07 and height 42.95.
 At frame 9.0, person 7.0 is located at coordinates [617.47, 640.13] with a bounding box of width 23.73 and height 62.09.
 At frame 10.0, person 1.0 is located at coordinates [588.45, 635.50] with a bounding box of width 40.32 and height 105.99.
 At frame 10.0, person 5.0 is located at coordinates [1095.09, 642.10] with a bounding box of width 26.20 and height 65.29.
 At frame 10.0, person 6.0 is located at coordinates [1064.54, 640.43] with a bounding box of width 19.23 and height 43.48.
 At frame 10.0, person 7.0 is located at coordinates [617.37, 641.42] with a bounding box of width 23.47 and height 61.49.
 At frame 11.0, person 1.0 is located at coordinates [586.51, 637.79] with a bounding box of width 40.48 and height 106.73.
 At frame 11.0, person 5.0 is located at coordinates [1097.66, 641.69] with a bounding box of width 28.14 and height 69.84.
 At frame 11.0, person 6.0 is located at coordinates [1066.42, 640.78] with a bounding box of width 19.48 and height 44.26.
 At frame 11.0, person 7.0 is located at coordinates [616.74, 643.47] with a bounding box of width 23.35 and height 61.30.
 At frame 12.0, person 1.0 is located at coordinates [583.82, 638.67] with a bounding box of width 41.05 and height 108.73.
 At frame 12.0, person 5.0 is located at coordinates [1103.41, 642.62] with a bounding box of width 26.00 and height 64.31.
 At frame 12.0, person 6.0 is located at coordinates [1068.29, 640.58] with a bounding box of width 19.49 and height 44.52.
 At frame 12.0, person 7.0 is located at coordinates [616.14, 644.74] with a bounding box of width 23.50 and height 61.89.
 At frame 13.0, person 1.0 is located at coordinates [581.47, 639.28] with a bounding box of width 41.71 and height 111.20.
 At frame 13.0, person 5.0 is located at coordinates [1105.36, 643.29] with a bounding box of width 29.08 and height 71.58.
 At frame 13.0, person 6.0 is located at coordinates [1070.58, 640.80] with a bounding box of width 19.77 and height 45.20.
 At frame 13.0, person 7.0 is located at coordinates [616.19, 646.06] with a bounding box of width 23.12 and height 60.84.
 At frame 13.0, person 8.0 is located at coordinates [1093.48, 641.61] with a bounding box of width 15.68 and height 35.70.
 At frame 14.0, person 1.0 is located at coordinates [579.82, 640.96] with a bounding box of width 41.27 and height 110.94.
 At frame 14.0, person 5.0 is located at coordinates [1108.53, 644.09] with a bounding box of width 29.79 and height 73.13.
 At frame 14.0, person 6.0 is located at coordinates [1072.98, 642.95] with a bounding box of width 19.03 and height 43.65.
 At frame 14.0, person 7.0 is located at coordinates [615.48, 647.71] with a bounding box of width 23.25 and height 61.09.
 At frame 14.0, person 8.0 is located at coordinates [1094.90, 642.36] with a bounding box of width 15.59 and height 35.57.
 At frame 15.0, person 1.0 is located at coordinates [577.06, 640.43] with a bounding box of width 41.99 and height 113.70.
 At frame 15.0, person 5.0 is located at coordinates [1111.94, 643.56] with a bounding box of width 31.19 and height 76.41.
 At frame 15.0, person 6.0 is located at coordinates [1075.62, 644.66] with a bounding box of width 18.70 and height 43.03.
 At frame 15.0, person 7.0 is located at coordinates [615.10, 648.86] with a bounding box of width 23.60 and height 61.79.
