At frame 0, person 1 is located at coordinates [1470.79, 532.89] with a bounding box of width 124.34 and height 348.16.
 At frame 0, person 2 is located at coordinates [1329.57, 524.01] with a bounding box of width 110.13 and height 347.27.
 At frame 0, person 3 is located at coordinates [1224.77, 591.96] with a bounding box of width 53.29 and height 130.56.
 At frame 0, person 4 is located at coordinates [110.08, 647.02] with a bounding box of width 44.57 and height 81.71.
 At frame 0, person 5 is located at coordinates [373.25, 645.25] with a bounding box of width 44.85 and height 72.83.
 At frame 0, person 6 is located at coordinates [1307.37, 597.73] with a bounding box of width 26.64 and height 64.84.
 At frame 0, person 7 is located at coordinates [361.04, 639.92] with a bounding box of width 31.09 and height 76.38.
 At frame 0, person 8 is located at coordinates [121.01, 645.69] with a bounding box of width 38.41 and height 79.93.
 At frame 0, person 9 is located at coordinates [144.99, 645.25] with a bounding box of width 25.76 and height 68.39.
 At frame 1, person 1 is located at coordinates [1469.11, 532.89] with a bounding box of width 124.61 and height 348.93.
 At frame 1, person 2 is located at coordinates [1327.41, 524.78] with a bounding box of width 109.82 and height 346.50.
 At frame 1, person 3 is located at coordinates [1225.52, 591.19] with a bounding box of width 53.32 and height 130.56.
 At frame 1, person 4 is located at coordinates [110.49, 647.02] with a bounding box of width 44.53 and height 81.71.
 At frame 1, person 5 is located at coordinates [367.43, 642.93] with a bounding box of width 47.23 and height 76.68.
 At frame 1, person 6 is located at coordinates [1307.98, 596.96] with a bounding box of width 26.95 and height 65.61.
 At frame 1, person 7 is located at coordinates [365.49, 639.15] with a bounding box of width 32.20 and height 78.69.
 At frame 1, person 8 is located at coordinates [121.03, 644.92] with a bounding box of width 38.75 and height 80.70.
 At frame 1, person 9 is located at coordinates [144.04, 644.48] with a bounding box of width 27.46 and height 73.01.
 At frame 2, person 1 is located at coordinates [1466.06, 533.24] with a bounding box of width 124.65 and height 349.06.
 At frame 2, person 2 is located at coordinates [1325.59, 526.30] with a bounding box of width 109.90 and height 347.06.
 At frame 2, person 3 is located at coordinates [1225.49, 590.36] with a bounding box of width 53.65 and height 131.25.
 At frame 2, person 4 is located at coordinates [108.84, 647.37] with a bounding box of width 43.87 and height 81.02.
 At frame 2, person 5 is located at coordinates [363.21, 640.16] with a bounding box of width 48.33 and height 78.70.
 At frame 2, person 6 is located at coordinates [1309.08, 597.52] with a bounding box of width 26.40 and height 64.36.
 At frame 2, person 8 is located at coordinates [119.12, 644.44] with a bounding box of width 39.72 and height 82.91.
 At frame 2, person 9 is located at coordinates [144.96, 644.34] with a bounding box of width 27.45 and height 73.14.
 At frame 3, person 1 is located at coordinates [1462.66, 533.69] with a bounding box of width 124.19 and height 347.73.
 At frame 3, person 2 is located at coordinates [1323.35, 526.42] with a bounding box of width 110.65 and height 349.96.
 At frame 3, person 3 is located at coordinates [1226.67, 589.44] with a bounding box of width 54.05 and height 132.14.
 At frame 3, person 4 is located at coordinates [111.98, 647.48] with a bounding box of width 43.55 and height 80.80.
 At frame 3, person 6 is located at coordinates [1309.40, 597.71] with a bounding box of width 26.25 and height 63.95.
 At frame 3, person 8 is located at coordinates [122.92, 645.97] with a bounding box of width 38.53 and height 80.93.
 At frame 3, person 9 is located at coordinates [146.70, 644.65] with a bounding box of width 27.60 and height 73.75.
 At frame 3, person 7 is located at coordinates [363.75, 639.43] with a bounding box of width 32.40 and height 79.07.
 At frame 4, person 1 is located at coordinates [1459.46, 532.84] with a bounding box of width 124.49 and height 348.61.
 At frame 4, person 2 is located at coordinates [1321.00, 527.40] with a bounding box of width 110.36 and height 349.58.
 At frame 4, person 3 is located at coordinates [1228.09, 588.84] with a bounding box of width 54.70 and height 133.72.
 At frame 4, person 4 is located at coordinates [115.20, 647.50] with a bounding box of width 42.84 and height 80.09.
 At frame 4, person 6 is located at coordinates [1310.91, 598.09] with a bounding box of width 25.97 and height 63.18.
 At frame 4, person 8 is located at coordinates [125.97, 646.50] with a bounding box of width 37.62 and height 79.53.
 At frame 4, person 9 is located at coordinates [149.25, 645.73] with a bounding box of width 25.92 and height 69.38.
 At frame 4, person 7 is located at coordinates [362.27, 639.18] with a bounding box of width 32.63 and height 79.70.
 At frame 5, person 1 is located at coordinates [1455.80, 532.23] with a bounding box of width 124.91 and height 350.19.
 At frame 5, person 2 is located at coordinates [1319.17, 528.02] with a bounding box of width 109.93 and height 348.76.
 At frame 5, person 3 is located at coordinates [1230.26, 588.67] with a bounding box of width 55.25 and height 134.86.
 At frame 5, person 4 is located at coordinates [118.40, 646.87] with a bounding box of width 43.09 and height 81.15.
 At frame 5, person 6 is located at coordinates [1311.37, 598.21] with a bounding box of width 25.91 and height 62.95.
 At frame 5, person 8 is located at coordinates [129.03, 645.70] with a bounding box of width 37.15 and height 79.07.
 At frame 5, person 9 is located at coordinates [151.61, 645.78] with a bounding box of width 25.01 and height 67.18.
 At frame 5, person 7 is located at coordinates [360.92, 639.10] with a bounding box of width 32.55 and height 79.90.
 

=====================================================

At frame 5, person 11 is located at coordinates [26.82, 648.18] with a bounding box of width 24.05 and height 66.26.
 At frame 6, person 1 is located at coordinates [1453.14, 533.88] with a bounding box of width 124.35 and height 348.26.
 At frame 6, person 2 is located at coordinates [1317.48, 528.21] with a bounding box of width 109.56 and height 347.82.
 At frame 6, person 3 is located at coordinates [1232.10, 590.49] with a bounding box of width 54.44 and height 132.14.
 At frame 6, person 4 is located at coordinates [120.53, 645.40] with a bounding box of width 43.49 and height 82.77.
 At frame 6, person 6 is located at coordinates [1311.36, 598.55] with a bounding box of width 26.17 and height 63.52.
 At frame 6, person 8 is located at coordinates [130.92, 644.47] with a bounding box of width 36.11 and height 77.68.
 At frame 6, person 9 is located at coordinates [152.52, 645.78] with a bounding box of width 25.13 and height 67.76.
 At frame 6, person 7 is located at coordinates [359.23, 638.45] with a bounding box of width 32.85 and height 81.21.
 At frame 6, person 11 is located at coordinates [26.99, 648.32] with a bounding box of width 23.91 and height 65.84.
 At frame 7, person 1 is located at coordinates [1450.47, 535.09] with a bounding box of width 124.15 and height 346.93.
 At frame 7, person 2 is located at coordinates [1314.99, 527.63] with a bounding box of width 109.68 and height 348.08.
 At frame 7, person 3 is located at coordinates [1230.71, 590.56] with a bounding box of width 54.44 and height 131.72.
 At frame 7, person 4 is located at coordinates [120.72, 645.19] with a bounding box of width 42.52 and height 82.13.
 At frame 7, person 6 is located at coordinates [1311.94, 598.97] with a bounding box of width 26.27 and height 63.74.
 At frame 7, person 8 is located at coordinates [130.43, 644.96] with a bounding box of width 36.65 and height 79.69.
 At frame 7, person 9 is located at coordinates [153.20, 644.54] with a bounding box of width 25.13 and height 67.98.
 At frame 7, person 7 is located at coordinates [358.72, 639.12] with a bounding box of width 32.51 and height 81.06.
